file_path,Apps,BBB web,FSESL,FreeSWITCH,Presentation Conversion,Redis DB,best_module,best_likelihood
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/ConferenceMemberFlags.java,0.00,0.00,90.00,10.00,0.00,0.00,FSESL,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/XMLResponseConferenceListParser.java,10.00,0.00,90.00,30.00,0.00,0.00,FSESL,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/response/ConferenceMember.java,20.00,5.00,80.00,90.00,0.00,10.00,FreeSWITCH,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/BroadcastConferenceCommand.java,20.00,5.00,85.00,30.00,0.00,0.00,FSESL,85.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/EjectAllUsersCommand.java,10.00,0.00,70.00,90.00,0.00,0.00,FreeSWITCH,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetUsersStatusCommand.java,0.00,0.00,80.00,70.00,0.00,5.00,FSESL,80.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckFreeswitchStatusCommand.java,15.00,5.00,85.00,75.00,0.00,0.00,FSESL,85.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/TransferUserToMeetingCommand.java,10.00,5.00,90.00,30.00,0.00,0.00,FSESL,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/HoldUserCommand.java,10.00,5.00,80.00,30.00,0.00,0.00,FSESL,80.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/DeafUserCommand.java,20.00,5.00,80.00,50.00,0.00,0.00,FSESL,80.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetAllUsersCommand.java,20.00,5.00,90.00,65.00,0.00,0.00,FSESL,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/RecordConferenceCommand.java,10.00,0.00,95.00,20.00,0.00,0.00,FSESL,95.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/PlaySoundCommand.java,20.00,5.00,70.00,10.00,0.00,0.00,FSESL,70.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/MuteUserCommand.java,20.00,0.00,90.00,30.00,0.00,0.00,FSESL,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/FreeswitchCommand.java,20.00,5.00,70.00,40.00,0.00,5.00,FSESL,70.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/StopSoundCommand.java,10.00,0.00,90.00,40.00,0.00,0.00,FSESL,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ConferenceCheckRecordCommand.java,10.00,5.00,90.00,20.00,0.00,5.00,FSESL,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/DelayedCommand.java,10.00,5.00,80.00,60.00,0.00,5.00,FSESL,80.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ForceEjectUserCommand.java,0.00,0.00,90.00,80.00,0.00,0.00,FSESL,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/CheckIfConfIsRunningCommand.java,15.00,5.00,80.00,30.00,0.00,0.00,FSESL,80.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/EjectUserCommand.java,10.00,5.00,30.00,90.00,0.00,0.00,FreeSWITCH,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/DelayedCommandSenderService.java,20.00,5.00,80.00,40.00,0.00,5.00,FSESL,80.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/IDelayedCommandListener.java,5.00,0.00,80.00,90.00,0.00,0.00,FreeSWITCH,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/FreeswitchApplication.java,20.00,0.00,60.00,90.00,0.00,0.00,FreeSWITCH,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/ConnectionManager.java,20.00,5.00,90.00,30.00,0.00,5.00,FSESL,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/ESLEventListener.java,20.00,5.00,85.00,65.00,0.00,10.00,FSESL,85.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserTalkingEvent.java,0.00,0.00,0.00,0.00,0.00,0.00,Apps,0.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUsersStatusEvent.java,20.00,0.00,80.00,40.00,0.00,0.00,FSESL,80.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfRecording.java,20.00,5.00,80.00,30.00,0.00,10.00,FSESL,80.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/VoiceUserLeftEvent.java,2.00,0.00,90.00,8.00,0.00,0.00,FSESL,90.00
akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/AudioFloorChangedEvent.java,10.00,5.00,80.00,60.00,0.00,5.00,FSESL,80.00
