file_path,IMBS,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,general,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\IndependentMultimodal.cpp,87.14339447021484,10.768328666687012,10.5366849899292,6.347185134887695,6.953467845916748,13.474510192871094,6.953467845916748,3.941335916519165,5.190526962280273,3.0373141765594482,6.953467845916748,7.544092178344727,7.167102813720703,13.119218826293945,IMBS,87.14339447021484
bgslibrary\bgslibrary\algorithms\T2F\T2FMRF.cpp,9.373477935791016,12.334644317626953,49.68280792236328,6.446086406707764,9.413813591003418,25.672718048095703,6.450194835662842,251.2664794921875,5.026742458343506,14.343097686767578,6.450194835662842,7.215562343597412,76.2001724243164,13.495386123657227,T2F,251.2664794921875
bgslibrary\bgslibrary\algorithms\lb\BGModelSom.h,1.1566531658172607,7.110623836517334,27.522478103637695,2.332887887954712,1.1566531658172607,6.845818519592285,1.1566531658172607,21.247941970825195,3.3151724338531494,1.1566531658172607,1.1566531658172607,3.6267035007476807,106.1811752319336,3.731501579284668,lb,106.1811752319336
bgslibrary\bgslibrary\algorithms\LBAdaptiveSOM.cpp,17.471933364868164,10.365118026733398,25.482728958129883,6.18159818649292,6.7722907066345215,12.124358177185059,6.7722907066345215,3.8244080543518066,5.112205505371094,16.597530364990234,6.7722907066345215,7.371781826019287,90.4441909790039,14.642085075378418,lb,90.4441909790039
bgslibrary\bgslibrary\algorithms\TwoPoints.cpp,17.190959930419922,5.81368350982666,11.984329223632812,6.688052177429199,5.4417877197265625,17.149635314941406,2.431185007095337,3.189110279083252,144.9666748046875,2.431185007095337,2.431185007095337,5.024620532989502,5.816418170928955,14.759302139282227,TwoPoints,144.9666748046875
bgslibrary\gui\mfc\src\targetver.h,0.0,0.0,10.99853229522705,0.0,0.0,0.0,0.0,0.3055148124694824,1.0017503499984741,0.0,0.0,0.0,1.1426045894622803,0.0,LBP_MRF,10.99853229522705
bgslibrary\bgslibrary\algorithms\MultiLayer\BlobLibraryConfiguration.h,1.1469396352767944,0.0,0.0,2.312246799468994,98.63318634033203,0.0,1.1469396352767944,0.0,3.295865774154663,1.1469396352767944,1.1469396352767944,3.459186315536499,1.1653070449829102,3.459186315536499,MultiLayer,98.63318634033203
bgslibrary\bgslibrary\algorithms\LBSP\LBSP_.cpp,6.039412498474121,12.508960723876953,47.980857849121094,113.9252700805664,1.067751169204712,1.508989691734314,1.4102985858917236,27.233566284179688,3.479079246520996,19.64636993408203,1.4102985858917236,3.4800238609313965,40.64374923706055,12.537220001220703,LBSP,113.9252700805664
bgslibrary\bgslibrary\tools\PerformanceUtils.h,0.3504121005535126,0.0,0.0,1.0,0.0,1.350412130355835,0.3504121005535126,0.0,1.352397084236145,1.350412130355835,1.350412130355835,1.0,1.0512362718582153,0.0,TwoPoints,1.352397084236145
bgslibrary\bgslibrary\algorithms\MultiLayer\OpenCvDataConversion.h,9.016641616821289,11.193791389465332,13.52914810180664,2.733412027359009,86.31600952148438,0.0,1.118043065071106,0.3758096694946289,5.818338871002197,1.118043065071106,1.118043065071106,3.7219905853271484,5.067928791046143,10.613433837890625,MultiLayer,86.31600952148438
bgslibrary\bgslibrary\algorithms\DPPratiMediod.h,16.652448654174805,0.30898648500442505,6.622699737548828,2.6120901107788086,1.1587917804718018,20.369733810424805,1.1587917804718018,0.17538093030452728,3.3194751739501953,1.1587917804718018,1.1587917804718018,3.671605110168457,1.5294026136398315,12.910466194152832,PBAS,20.369733810424805
bgslibrary\bgslibrary\algorithms\dp\BgsParams.h,1.161468505859375,0.0,0.0,2.343120574951172,1.161468505859375,0.0,1.161468505859375,0.0,3.3248605728149414,18.3880558013916,1.161468505859375,3.504589080810547,1.1816520690917969,3.504589080810547,ViBe,18.3880558013916
bgslibrary\bgslibrary\algorithms\PAWCS.h,17.884763717651367,4.315258979797363,32.80532455444336,104.90097045898438,3.1606719493865967,19.867341995239258,3.1606719493865967,2.176846742630005,4.323369979858398,2.1606719493865967,3.1606719493865967,5.678946495056152,41.53445053100586,12.196938514709473,LBSP,104.90097045898438
bgslibrary\bgslibrary\algorithms\dp\AdaptiveMedianBGS.h,2.8579699993133545,6.8124189376831055,16.286479949951172,5.735298156738281,4.561074733734131,13.960379600524902,4.561074733734131,3.4062094688415527,5.0146803855896,2.8579699993133545,4.561074733734131,7.229708194732666,9.930384635925293,16.844276428222656,main,16.844276428222656
bgslibrary\bgslibrary\algorithms\dp\PratiMediodBGS.h,3.352602958679199,7.487735748291016,16.311796188354492,6.058589935302734,4.891972541809082,18.382667541503906,5.224536895751953,3.743867874145508,5.502471923828125,17.87088394165039,5.224536895751953,7.539487838745117,10.931102752685547,17.377418518066406,PBAS,18.382667541503906
