file_path,CameraDataPostProcess,CameraDataPreProcess,CameraDataProcessCommon,CameraServiceCommon,ChannelCommon,ChannelSink,DistributedCameraSinkMgr,DistributedCameraSourceMgr,VirtualCameraHdf,utils,best_module,best_likelihood
distributed_camera\services\cameraservice\sourceservice\src\distributedcameramgr\dcameradata\dcamera_stream_data_process_pipeline_listener.cpp,13.853285789489746,6.808166980743408,8.263079643249512,6.736591339111328,4.744002342224121,1.8668872117996216,6.677208423614502,10.788657188415527,6.915585517883301,9.772706985473633,CameraDataPostProcess,13.853285789489746
distributed_camera\services\cameraservice\sourceservice\include\distributedcameramgr\dcamerastate\dcamera_source_init_state.h,5.52146053314209,1.5852535963058472,2.483808994293213,8.720841407775879,1.9307745695114136,1.162833571434021,4.784017562866211,9.05463695526123,4.51613712310791,3.29301118850708,DistributedCameraSourceMgr,9.05463695526123
distributed_camera\camera_hdf\hdi_impl\src\dstream_operator\doffline_stream_operator.cpp,3.342200517654419,1.18358314037323,0.0,3.317234754562378,0.02496572583913803,1.1711002588272095,1.6887589693069458,9.357973098754883,11.16091251373291,9.513050079345703,VirtualCameraHdf,11.16091251373291
distributed_camera\camera_hdf\interfaces\hdi_ipc\client\provider\dcamera_provider_proxy.h,5.424890518188477,1.3424108028411865,3.9293854236602783,13.513288497924805,5.7517170906066895,1.325921893119812,8.139187812805176,11.219773292541504,18.813405990600586,12.085858345031738,VirtualCameraHdf,18.813405990600586
distributed_camera\services\cameraservice\sinkservice\test\unittest\common\distributedcameramgr\dcamera_sink_data_process_test.cpp,18.224275588989258,9.529335975646973,14.221760749816895,12.347949981689453,10.952118873596191,6.297167778015137,9.262168884277344,9.217854499816895,9.732093811035156,8.589132308959961,CameraDataPostProcess,18.224275588989258
distributed_camera\camera_hdf\interfaces\hdi_ipc\server\provider\dcamera_provider_stub.cpp,12.980021476745605,9.448240280151367,11.457530975341797,12.767279624938965,7.879654407501221,2.0682289600372314,12.860838890075684,13.331398010253906,16.47678565979004,16.9778995513916,utils,16.9778995513916
distributed_camera\services\data_process\include\pipeline\dcamera_pipeline_sink.h,16.823549270629883,8.942436218261719,12.353407859802246,7.797950267791748,7.232503414154053,0.16752436757087708,7.494217395782471,8.798213958740234,2.4319403171539307,4.759674549102783,CameraDataPostProcess,16.823549270629883
distributed_camera\interfaces\inner_kits\native_cpp\camera_source\include\distributed_camera_source_proxy.h,6.765078067779541,1.209184169769287,3.979039192199707,10.556654930114746,5.9014105796813965,1.1924954652786255,3.472651958465576,8.906228065490723,8.375907897949219,6.284794807434082,CameraServiceCommon,10.556654930114746
distributed_camera\camera_hdf\interfaces\hdi_ipc\server\device\dcamera_device_stub.cpp,11.473138809204102,8.398709297180176,9.080141067504883,11.03276538848877,5.931960105895996,1.5963551998138428,8.568437576293945,11.961885452270508,15.063170433044434,14.987302780151367,VirtualCameraHdf,15.063170433044434
distributed_camera\camera_hdf\hdi_impl\include\dstream_operator\dbuffer_manager.h,6.136875629425049,2.173957109451294,1.5677727460861206,4.531249046325684,1.033536434173584,2.7300193309783936,3.0105369091033936,7.433468818664551,8.962722778320312,7.569890975952148,VirtualCameraHdf,8.962722778320312
distributed_camera\camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_callback.cpp,3.326737403869629,3.5804247856140137,1.9032459259033203,6.411111831665039,3.838880777359009,1.1633687019348145,2.8814809322357178,11.858930587768555,11.842713356018066,7.913922309875488,DistributedCameraSourceMgr,11.858930587768555
distributed_camera\camera_hdf\hdi_impl\include\dstream_operator\doffline_stream_operator.h,3.341463088989258,1.183187484741211,0.0,3.3165512084960938,0.024911921471357346,1.170731544494629,1.441459059715271,8.935967445373535,10.905728340148926,6.68399715423584,VirtualCameraHdf,10.905728340148926
distributed_camera\services\cameraservice\sinkservice\include\distributedcameramgr\interface\icamera_sink_access_control.h,3.9110116958618164,3.273796319961548,6.188366889953613,7.462027072906494,7.117171764373779,1.1658623218536377,10.032721519470215,4.819802761077881,5.503580570220947,3.262660503387451,DistributedCameraSinkMgr,10.032721519470215
distributed_camera\services\data_process\src\pipeline\dcamera_pipeline_sink.cpp,22.651851654052734,16.201696395874023,25.050203323364258,10.329065322875977,9.64018726348877,3.0019798278808594,14.14782428741455,17.38482093811035,5.126266956329346,13.070834159851074,CameraDataProcessCommon,25.050203323364258
distributed_camera\services\cameraservice\sinkservice\src\distributedcameramgr\callback\dcamera_sink_output_result_callback.cpp,10.739252090454102,5.201132774353027,5.010517120361328,7.7526021003723145,3.077496290206909,1.8847604990005493,10.637093544006348,7.796109676361084,4.705480575561523,7.8946332931518555,CameraDataPostProcess,10.739252090454102
distributed_camera\interfaces\inner_kits\native_cpp\camera_source\include\idistributed_camera_source.h,8.328659057617188,1.6210827827453613,4.867068290710449,12.869906425476074,7.553495407104492,1.204648494720459,3.196559429168701,10.583065032958984,14.316080093383789,7.714565277099609,VirtualCameraHdf,14.316080093383789
distributed_camera\services\channel\include\dcamera_softbus_adapter.h,11.517181396484375,6.2368669509887695,10.047279357910156,12.352922439575195,20.059858322143555,7.975553512573242,8.734410285949707,8.413653373718262,4.7653093338012695,7.831859111785889,ChannelCommon,20.059858322143555
distributed_camera\services\channel\include\dcamera_channel_source_impl.h,7.012719631195068,2.968095302581787,5.652132511138916,8.827153205871582,14.335830688476562,3.597935438156128,4.512329578399658,6.686296463012695,5.218947887420654,6.59749174118042,ChannelCommon,14.335830688476562
distributed_camera\services\cameraservice\cameraoperator\client\include\callback\dcamera_video_callback.h,4.330333232879639,1.1984368562698364,0.6468170881271362,6.400928974151611,0.06654059141874313,1.1651666164398193,2.5436410903930664,9.996346473693848,4.504340648651123,6.998542308807373,DistributedCameraSourceMgr,9.996346473693848
distributed_camera\camera_hdf\interfaces\hdi_ipc\server\provider\dcamera_provider_callback_proxy.h,3.5486392974853516,1.2912013530731201,3.665283203125,10.593685150146484,5.560844421386719,1.2743196487426758,5.996931552886963,9.09427261352539,10.517849922180176,9.941825866699219,CameraServiceCommon,10.593685150146484
distributed_camera\camera_hdf\interfaces\hdi_ipc\client\operator\dstream_operator_callback_stub.h,9.311981201171875,4.882091522216797,8.101161003112793,5.267282009124756,5.690464973449707,1.1958824396133423,6.590869426727295,9.584827423095703,9.946785926818848,9.577468872070312,VirtualCameraHdf,9.946785926818848
distributed_camera\services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_source_data_process.h,11.369935035705566,4.324857711791992,6.642472267150879,7.598241806030273,3.504088878631592,1.1357448101043701,5.964597225189209,10.525184631347656,6.321845531463623,7.764668941497803,CameraDataPostProcess,11.369935035705566
distributed_camera\camera_hdf\hdi_impl\include\dcamera_provider\dcamera_provider.h,3.524627685546875,1.2793922424316406,1.6071839332580566,8.92990779876709,1.641340732574463,1.2623138427734375,5.809599876403809,8.06274127960205,9.365453720092773,11.29910659790039,utils,11.29910659790039
distributed_camera\interfaces\inner_kits\native_cpp\camera_source\include\callback\idcamera_source_callback.h,11.199434280395508,4.746575355529785,10.025160789489746,8.320392608642578,9.31196403503418,1.263819694519043,4.993544101715088,10.110257148742676,5.618484020233154,7.019601345062256,CameraDataPostProcess,11.199434280395508
distributed_camera\services\data_process\include\pipeline_node\fpscontroller\fps_controller_process.h,20.479137420654297,7.635825157165527,11.213581085205078,8.629348754882812,4.733261585235596,8.589598655700684,17.755786895751953,20.963363647460938,2.3739449977874756,4.298060417175293,DistributedCameraSourceMgr,20.963363647460938
distributed_camera\services\cameraservice\sinkservice\src\distributedcameramgr\listener\dcamera_sink_controller_channel_listener.cpp,11.512663841247559,5.139033794403076,6.653911590576172,13.329005241394043,10.541755676269531,16.94489860534668,24.669538497924805,21.029813766479492,4.668814659118652,7.172364234924316,DistributedCameraSinkMgr,24.669538497924805
distributed_camera\services\cameraservice\sinkservice\include\distributedcameramgr\listener\dcamera_sink_data_process_listener.h,10.09330940246582,6.573762893676758,7.023075103759766,7.828398704528809,6.169220447540283,1.1657108068466187,7.919124126434326,7.469671249389648,4.50415563583374,6.745414733886719,CameraDataPostProcess,10.09330940246582
distributed_camera\services\cameraservice\base\include\dcamera_protocol.h,4.584403991699219,1.210952639579773,1.4157679080963135,14.272558212280273,5.2184672355651855,4.359622955322266,2.840952157974243,10.01276969909668,8.822649002075195,8.53146743774414,CameraServiceCommon,14.272558212280273
distributed_camera\services\data_process\include\interfaces\idata_process_pipeline.h,12.330256462097168,6.812745094299316,11.878127098083496,6.452898025512695,9.261344909667969,0.01542692631483078,5.618407249450684,6.648984909057617,2.2399370670318604,3.1310982704162598,CameraDataPostProcess,12.330256462097168
distributed_camera\services\cameraservice\sourceservice\include\distributedcameramgr\dcameradata\dcamera_source_input_channel_listener.h,8.540791511535645,5.242567539215088,5.557537078857422,9.882025718688965,9.527867317199707,3.354074001312256,5.474618911743164,12.807573318481445,5.486571311950684,7.256649017333984,DistributedCameraSourceMgr,12.807573318481445
distributed_camera\services\cameraservice\base\src\dcamera_channel_info_cmd.cpp,9.729816436767578,4.680919647216797,8.833236694335938,13.131364822387695,10.705233573913574,8.521394729614258,8.567084312438965,8.437596321105957,5.681365966796875,7.100378036499023,CameraServiceCommon,13.131364822387695
distributed_camera\services\cameraservice\cameraoperator\client\include\callback\dcamera_preview_callback.h,4.292965412139893,1.1610689163208008,0.0,5.7541117668151855,0.029172701761126518,1.1464825868606567,2.487589120864868,10.88895320892334,4.504340648651123,6.998542308807373,DistributedCameraSourceMgr,10.88895320892334
