file_path,dsp,feature,filter_bank,general,best_module,best_likelihood
include\dsp\resample_algorithm.h,70.00,0.00,0.00,30.00,dsp,70.00
include\dsp\czt_algorithm.h,70.00,5.00,10.00,15.00,dsp,70.00
include\dsp\xcorr_algorithm.h,70.00,10.00,5.00,15.00,dsp,70.00
include\feature\deconv_algorithm.h,10.00,90.00,0.00,0.00,feature,90.00
include\feature\xxcc_algorithm.h,0.00,95.00,0.00,0.00,feature,95.00
include\feature\spectral_algorithm.h,0.00,90.00,0.00,0.00,feature,90.00
include\feature\chroma_algorithm.h,10.00,80.00,10.00,0.00,feature,80.00
include\filterbank\auditory_weight.h,20.00,30.00,40.00,10.00,None,40.00
include\mir\_pitch_yin.h,0.00,85.00,0.00,0.00,feature,85.00
include\mir\onset_algorithm.h,3.00,80.00,2.00,15.00,feature,80.00
include\mir\harmonicRatio_algorithm.h,80.00,10.00,5.00,5.00,dsp,80.00
include\mir\hpss_algorithm.h,80.00,0.00,0.00,0.00,dsp,80.00
include\util\flux_util.h,20.00,5.00,0.00,75.00,general,75.00
include\util\flux_wave.h,5.00,5.00,5.00,85.00,general,85.00
include\emd_algorithm.h,85.00,5.00,5.00,5.00,dsp,85.00
include\hht_algorithm.h,30.00,5.00,5.00,60.00,general,60.00
include\ewt_algorithm.h,30.00,10.00,5.00,55.00,general,55.00
include\dwt_algorithm.h,0.00,0.00,0.00,0.00,None,0.00
include\reassign_algorithm.h,10.00,5.00,5.00,80.00,general,80.00
include\cwd_algorithm.h,70.00,5.00,10.00,15.00,dsp,70.00
include\fst_algorithm.h,70.00,0.00,0.00,0.00,dsp,70.00
include\pwt_algorithm.h,80.00,0.00,0.00,0.00,dsp,80.00
include\nsgt_algorithm.h,20.00,5.00,30.00,45.00,None,45.00
include\flux_base.h,45.00,10.00,40.00,5.00,None,45.00
include\cwt_algorithm.h,70.00,0.00,0.00,0.00,dsp,70.00
include\cqt_algorithm.h,10.00,30.00,20.00,40.00,None,40.00
include\swt_algorithm.h,85.00,2.00,3.00,10.00,dsp,85.00
include\spectrogram_algorithm.h,0.00,60.00,0.00,0.00,feature,60.00
include\synsq_algorithm.h,20.00,10.00,10.00,60.00,general,60.00
include\st_algorithm.h,85.00,5.00,5.00,5.00,dsp,85.00
include\wpt_algorithm.h,80.00,0.00,0.00,0.00,dsp,80.00
include\wvd_algorithm.h,60.00,5.00,5.00,30.00,dsp,60.00
include\temporal_algorithm.h,10.00,70.00,5.00,15.00,feature,70.00
include\wsst_algorithm.h,70.00,5.00,5.00,20.00,dsp,70.00
src\dsp\conv_algorithm.c,85.00,0.00,0.00,15.00,dsp,85.00
src\dsp\fft_algorithm.c,3.00,1.00,1.00,95.00,general,95.00
src\dsp\filterDesign_fir.c,95.00,0.00,0.00,0.00,dsp,95.00
src\dsp\czt_algorithm.c,0.00,0.00,0.00,95.00,general,95.00
src\dsp\dct_algorithm.c,15.00,10.00,5.00,70.00,general,70.00
