file_path,environments,policies,robot_devices,utilities,configs,best_module,best_likelihood
src\lerobot\async_inference\constants.py,50.00,0.00,0.00,0.00,0.00,environments,50.00
src\lerobot\configs\parser.py,0.00,0.00,0.00,0.00,90.00,configs,90.00
src\lerobot\configs\types.py,0.00,90.00,0.00,0.00,0.00,policies,90.00
src\lerobot\configs\eval.py,10.00,15.00,5.00,10.00,60.00,configs,60.00
src\lerobot\configs\train.py,1.00,1.00,0.00,3.00,95.00,configs,95.00
src\lerobot\configs\policies.py,0.00,0.00,0.00,0.00,100.00,configs,100.00
src\lerobot\configs\default.py,0.00,0.00,0.00,0.00,90.00,configs,90.00
src\lerobot\datasets\factory.py,0.00,0.00,0.00,0.00,95.00,configs,95.00
src\lerobot\datasets\sampler.py,0.00,0.00,0.00,85.00,0.00,utilities,85.00
src\lerobot\datasets\image_writer.py,0.00,0.00,5.00,95.00,0.00,utilities,95.00
src\lerobot\datasets\video_utils.py,0.00,0.00,85.00,0.00,0.00,robot_devices,85.00
src\lerobot\datasets\utils.py,0.00,0.00,0.00,90.00,0.00,utilities,90.00
src\lerobot\datasets\lerobot_dataset.py,0.00,0.00,0.00,90.00,10.00,utilities,90.00
src\lerobot\datasets\compute_stats.py,0.00,0.00,0.00,100.00,0.00,utilities,100.00
src\lerobot\envs\configs.py,3.00,1.00,1.00,0.00,95.00,configs,95.00
src\lerobot\envs\factory.py,95.00,0.00,0.00,0.00,0.00,environments,95.00
src\lerobot\envs\utils.py,95.00,0.00,0.00,0.00,0.00,environments,95.00
src\lerobot\envs\__init__.py,85.00,0.00,0.00,0.00,0.00,environments,85.00
src\lerobot\policies\act\configuration_act.py,0.00,0.00,0.00,0.00,95.00,configs,95.00
src\lerobot\policies\act\modeling_act.py,0.00,100.00,0.00,0.00,0.00,policies,100.00
src\lerobot\policies\diffusion\modeling_diffusion.py,0.00,95.00,0.00,0.00,0.00,policies,95.00
src\lerobot\policies\diffusion\configuration_diffusion.py,0.00,10.00,0.00,0.00,90.00,configs,90.00
src\lerobot\policies\pi0\modeling_pi0.py,0.00,90.00,0.00,0.00,10.00,policies,90.00
src\lerobot\policies\pi0\configuration_pi0.py,1.00,3.00,0.00,1.00,95.00,configs,95.00
src\lerobot\policies\tdmpc\configuration_tdmpc.py,0.00,0.00,0.00,0.00,95.00,configs,95.00
src\lerobot\policies\tdmpc\modeling_tdmpc.py,0.00,90.00,0.00,0.00,0.00,policies,90.00
src\lerobot\policies\vqbet\vqbet_utils.py,0.00,90.00,0.00,10.00,0.00,policies,90.00
src\lerobot\policies\vqbet\configuration_vqbet.py,0.00,0.00,0.00,0.00,100.00,configs,100.00
src\lerobot\policies\vqbet\modeling_vqbet.py,0.00,95.00,0.00,0.00,0.00,policies,95.00
src\lerobot\policies\pretrained.py,0.00,95.00,0.00,0.00,0.00,policies,95.00
src\lerobot\policies\utils.py,0.00,80.00,0.00,0.00,0.00,policies,80.00
src\lerobot\policies\factory.py,0.00,85.00,0.00,0.00,0.00,policies,85.00
src\lerobot\policies\__init__.py,0.00,80.00,0.00,0.00,20.00,policies,80.00
src\lerobot\utils\random_utils.py,0.00,0.00,0.00,100.00,0.00,utilities,100.00
src\lerobot\utils\hub.py,0.00,10.00,0.00,90.00,0.00,utilities,90.00
src\lerobot\utils\utils.py,0.00,0.00,0.00,100.00,0.00,utilities,100.00
src\lerobot\utils\import_utils.py,1.00,1.00,5.00,90.00,3.00,utilities,90.00
src\lerobot\utils\io_utils.py,3.00,1.00,5.00,90.00,1.00,utilities,90.00
src\lerobot\utils\logging_utils.py,0.00,0.00,0.00,90.00,0.00,utilities,90.00
src\lerobot\utils\constants.py,90.00,2.00,5.00,2.00,1.00,environments,90.00
