file_path,logic,model,preferences,best_module,best_likelihood
jabref\src\test\java\org\jabref\logic\importer\fileformat\SilverPlatterImporterTest.java,53.279815673828125,2.5224664211273193,0.0,logic,53.279815673828125
jabref\buildSrc\src\copied\java\org\jabref\logic\journals\JournalAbbreviationRepository.java,50.37883758544922,2.761460542678833,0.28082817792892456,logic,50.37883758544922
jabref\src\main\java\org\jabref\gui\util\UiThreadList.java,2.050783395767212,1.0001933574676514,0.0,logic,2.050783395767212
jabref\src\main\java\org\jabref\logic\msbib\BibTeXConverter.java,49.19057083129883,2.3904545307159424,0.0,logic,49.19057083129883
jabref\src\test\java\org\jabref\logic\importer\fileformat\CffImporterTest.java,51.90219497680664,12.23117733001709,2.279055118560791,logic,51.90219497680664
jabref\src\main\java\org\jabref\gui\theme\StyleSheetResource.java,1.842923641204834,1.000206708908081,0.0,logic,1.842923641204834
jabref\src\main\java\org\jabref\gui\libraryproperties\constants\ConstantsPropertiesView.java,5.234621524810791,2.0001566410064697,35.0,preferences,35.0
jabref\src\test\java\org\jabref\logic\cleanup\FieldFormatterCleanupTest.java,49.24456024169922,4.765657901763916,0.0,logic,49.24456024169922
jabref\src\test\java\org\jabref\logic\net\ProxyTest.java,55.56611633300781,2.5592310428619385,1.0,logic,55.56611633300781
jabref\src\main\java\org\jabref\logic\exporter\ModsExporter.java,52.485164642333984,36.48914337158203,2.046280860900879,logic,52.485164642333984
jabref\src\main\java\org\jabref\logic\shared\OracleProcessor.java,50.353240966796875,8.171613693237305,23.34360122680664,logic,50.353240966796875
jabref\src\main\java\org\jabref\model\util\ListUtil.java,6.091708183288574,92.02513122558594,0.0,model,92.02513122558594
jabref\src\main\java\org\jabref\model\groups\TexGroup.java,10.606688499450684,78.92608642578125,6.708322048187256,model,78.92608642578125
jabref\src\test\java\org\jabref\logic\importer\fetcher\isbntobibtex\EbookDeIsbnFetcherTest.java,51.47176742553711,3.746448278427124,0.0,logic,51.47176742553711
jabref\src\main\java\org\jabref\gui\libraryproperties\PropertiesTabViewModel.java,1.868610143661499,1.0002130270004272,0.0,logic,1.868610143661499
jabref\src\test\java\org\jabref\logic\util\strings\StringLengthComparatorTest.java,54.04451370239258,2.9766016006469727,0.0,logic,54.04451370239258
jabref\src\main\java\org\jabref\logic\citationstyle\JabRefItemDataProvider.java,49.192298889160156,5.592150688171387,0.28082817792892456,logic,49.192298889160156
jabref\src\main\java\org\jabref\gui\externalfiles\UnlinkedFilesDialogView.java,2.4535341262817383,1.2478562593460083,35.0,preferences,35.0
jabref\src\main\java\org\jabref\logic\bibtex\comparator\BibtexStringComparator.java,53.87056350708008,2.539350986480713,0.0,logic,53.87056350708008
jabref\src\main\java\org\jabref\gui\entryeditor\DeprecatedFieldsTab.java,6.057157516479492,43.32107162475586,96.18382263183594,preferences,96.18382263183594
jabref\src\test\java\org\jabref\logic\importer\fetcher\SemanticScholarTest.java,50.252079010009766,37.90789794921875,0.0,logic,50.252079010009766
jabref\src\main\java\org\jabref\logic\importer\fetcher\CiteSeer.java,52.002376556396484,2.485955238342285,0.0,logic,52.002376556396484
