file_path,environments,policies,robot_devices,utilities,configs,best_module,best_likelihood
src\lerobot\async_inference\constants.py,85.00,5.00,2.00,5.00,3.00,environments,85.00
src\lerobot\configs\train.py,5.00,3.00,0.00,10.00,98.00,configs,98.00
src\lerobot\configs\policies.py,0.00,60.00,0.00,10.00,30.00,policies,60.00
src\lerobot\configs\parser.py,0.00,0.00,0.00,90.00,10.00,utilities,90.00
src\lerobot\configs\eval.py,10.00,5.00,0.00,5.00,90.00,configs,90.00
src\lerobot\configs\default.py,0.00,2.00,0.00,5.00,98.00,configs,98.00
src\lerobot\configs\types.py,5.00,40.00,0.00,45.00,10.00,None,45.00
src\lerobot\datasets\factory.py,5.00,3.00,0.00,85.00,7.00,utilities,85.00
src\lerobot\datasets\lerobot_dataset.py,0.00,0.00,0.00,95.00,5.00,utilities,95.00
src\lerobot\datasets\image_writer.py,0.00,0.00,5.00,95.00,0.00,utilities,95.00
src\lerobot\datasets\sampler.py,2.00,5.00,1.00,90.00,2.00,utilities,90.00
src\lerobot\datasets\compute_stats.py,2.00,3.00,1.00,92.00,2.00,utilities,92.00
src\lerobot\datasets\utils.py,0.00,0.00,0.00,95.00,5.00,utilities,95.00
src\lerobot\datasets\video_utils.py,0.00,0.00,85.00,15.00,0.00,robot_devices,85.00
src\lerobot\envs\__init__.py,85.00,0.00,0.00,10.00,5.00,environments,85.00
src\lerobot\envs\configs.py,95.00,0.00,0.00,0.00,4.00,environments,95.00
src\lerobot\envs\factory.py,90.00,0.00,0.00,8.00,2.00,environments,90.00
src\lerobot\envs\utils.py,92.00,3.00,1.00,3.00,1.00,environments,92.00
src\lerobot\policies\act\configuration_act.py,2.00,95.00,1.00,1.00,10.00,policies,95.00
src\lerobot\policies\act\modeling_act.py,2.00,98.00,1.00,3.00,1.00,policies,98.00
src\lerobot\policies\diffusion\modeling_diffusion.py,0.00,99.00,0.00,1.00,0.00,policies,99.00
src\lerobot\policies\diffusion\configuration_diffusion.py,0.00,90.00,0.00,2.00,8.00,policies,90.00
src\lerobot\policies\pi0\modeling_pi0.py,0.00,99.00,0.00,1.00,0.00,policies,99.00
src\lerobot\policies\pi0\configuration_pi0.py,2.00,90.00,1.00,3.00,4.00,policies,90.00
src\lerobot\policies\tdmpc\configuration_tdmpc.py,0.00,10.00,0.00,0.00,90.00,configs,90.00
src\lerobot\policies\tdmpc\modeling_tdmpc.py,0.00,98.00,0.00,1.00,1.00,policies,98.00
src\lerobot\policies\vqbet\configuration_vqbet.py,0.00,10.00,0.00,0.00,90.00,configs,90.00
src\lerobot\policies\vqbet\vqbet_utils.py,0.00,95.00,0.00,5.00,0.00,policies,95.00
src\lerobot\policies\vqbet\modeling_vqbet.py,0.00,98.00,0.00,2.00,0.00,policies,98.00
src\lerobot\policies\utils.py,5.00,20.00,2.00,85.00,8.00,utilities,85.00
src\lerobot\policies\factory.py,0.00,98.00,0.00,5.00,10.00,policies,98.00
src\lerobot\policies\pretrained.py,0.00,95.00,0.00,3.00,2.00,policies,95.00
src\lerobot\policies\__init__.py,0.00,95.00,0.00,2.00,3.00,policies,95.00
src\lerobot\utils\logging_utils.py,0.00,0.00,0.00,99.00,1.00,utilities,99.00
src\lerobot\utils\io_utils.py,0.00,0.00,2.00,98.00,0.00,utilities,98.00
src\lerobot\utils\random_utils.py,0.00,0.00,0.00,100.00,0.00,utilities,100.00
src\lerobot\utils\utils.py,0.00,0.00,0.00,99.00,1.00,utilities,99.00
src\lerobot\utils\constants.py,5.00,10.00,10.00,95.00,15.00,utilities,95.00
src\lerobot\utils\hub.py,0.00,5.00,0.00,95.00,0.00,utilities,95.00
src\lerobot\utils\import_utils.py,2.00,3.00,5.00,90.00,0.00,utilities,90.00
