Threshold,Delete Count,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,0.0
20,1,0.3333,0.0193,76.6667,2.3333
20,2,0.5,0.0442,137.0,8.25
20,3,0.4187,0.3397,232.6667,270.6667
20,4,1.0,0.0102,293.0,3.0
20,5,,,,
20,6,1.0,0.3413,460.0,157.0
20,7,,,,
20,8,,,,
40,0,0.0,0.0,0.0,0.0
40,1,0.5,0.1601,76.6667,7.8333
40,2,0.647,0.3249,158.4,175.2
40,3,0.0,0.0,116.0,0.0
40,4,1.0,0.1022,372.0,38.0
40,5,1.0,0.0767,443.0,34.0
40,6,,,,
40,7,,,,
40,8,,,,
60,0,0.0,0.0,0.0,0.0
60,1,0.5309,0.3487,76.6667,143.6667
60,2,0.633,0.409,171.25,244.25
60,3,0.4755,0.4227,220.0,301.3333
60,4,1.0,0.1689,306.5,51.5
60,5,0.913,0.2095,401.0,92.0
60,6,,,,
60,7,,,,
60,8,,,,
80,0,0.0,0.0,0.0,55.0
80,1,0.1936,0.2703,76.6667,72.6667
80,2,0.5298,0.1536,192.0,49.0
80,3,0.2469,0.1932,207.0,162.0
80,4,0.2696,0.3444,270.0,345.0
80,5,,,,
80,6,0.5294,0.5674,460.0,493.0
80,7,,,,
80,8,,,,
100,0,0.0,0.0,0.0,204.0
100,1,0.0468,0.312,76.6667,234.6667
100,2,0.13,0.3357,130.2,261.6
100,3,0.1733,0.2568,222.0,329.0
100,4,0.3633,0.2943,384.0,311.0
100,5,,,,
100,6,,,,
100,7,,,,
100,8,,,,
Threshold,Delete Count,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,0.0
20,1,0.7127,0.6153,115.4286,85.4286
20,2,0.8972,0.6738,226.9,176.3
20,3,0.9904,0.8142,346.5,300.6
20,4,0.9864,0.8811,510.1,483.6
20,5,0.9984,0.9336,540.6,512.8
20,6,0.997,0.9949,692.5714,692.0
40,0,0.0,0.0,0.0,0.0
40,1,0.7127,0.6153,115.4286,85.4286
40,2,0.8979,0.6096,225.9,161.1
40,3,0.9913,0.8076,366.5,321.2
40,4,0.9936,0.7067,366.9,284.6
40,5,0.9927,0.9842,630.0,625.0
40,6,0.997,0.9955,692.5714,692.2857
60,0,0.0,0.0,0.0,0.0
60,1,0.7127,0.6153,115.4286,85.4286
60,2,0.9974,0.7515,208.3,176.3
60,3,0.9899,0.8,344.2,297.7
60,4,0.9944,0.9014,493.4,457.7
60,5,0.9916,0.9911,615.6,617.8
60,6,0.997,0.9955,692.5714,692.2857
80,0,0.0,0.0,0.0,0.0
80,1,0.633,0.6161,115.4286,150.8571
80,2,0.9305,0.676,278.3,270.1
80,3,0.9126,0.8602,327.4,359.1
80,4,0.9679,0.8094,431.8,399.5
80,5,0.9949,0.9617,599.6,585.0
80,6,0.997,0.9955,692.5714,692.2857
100,0,0.0,0.0,0.0,0.0
100,1,0.7157,0.7581,115.4286,200.8571
100,2,0.9967,0.7074,234.6,178.9
100,3,0.9209,0.8195,341.9,359.7
100,4,0.9536,0.8684,455.8,455.3
100,5,0.9931,0.9572,518.2,504.6
100,6,0.997,0.9955,692.5714,692.2857
Threshold,Delete Count,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,0.0
20,1,0.7143,0.1781,115.4286,20.4286
20,2,1.0,0.3642,235.8,77.4
20,3,1.0,0.3742,311.9,122.0
20,4,0.9738,0.5068,507.5,258.6
20,5,0.9321,0.8205,566.9,504.7
20,6,0.9929,0.8782,692.5714,604.4286
40,0,0.0,0.0,0.0,808.0
40,1,0.6595,0.5129,115.4286,242.8571
40,2,0.9338,0.453,237.6,154.2
40,3,1.0,0.3965,353.4,134.8
40,4,0.9134,0.7308,486.3,408.4
40,5,0.9962,0.7416,548.6,391.1
40,6,0.9948,0.8925,692.5714,613.8571
60,0,0.0,0.0,0.0,0.0
60,1,0.8539,0.3609,115.4286,37.2857
60,2,0.928,0.499,207.6,97.2
60,3,0.9114,0.5682,351.0,193.0
60,4,0.9953,0.5597,486.3,270.4
60,5,0.9683,0.7767,605.6,473.4
60,6,0.9661,0.8988,692.5714,634.2857
80,0,0.0,0.0,0.0,284.0
80,1,0.2475,0.653,115.4286,344.8571
80,2,0.4558,0.7502,233.5,400.9
80,3,0.6175,0.8153,354.4,485.4
80,4,0.7023,0.8559,427.5,538.6
80,5,0.721,0.9469,519.2,691.3
80,6,0.9174,0.9603,692.5714,727.0
100,0,0.0,0.0,0.0,569.0
100,1,0.1728,0.9057,115.4286,605.0
100,2,0.3156,0.9443,214.9,641.7
100,3,0.4505,0.9711,312.8,676.9
100,4,0.6171,0.9596,443.7,691.0
100,5,0.7347,0.9577,567.9,742.9
100,6,0.8878,0.9739,692.5714,761.5714
Threshold,Delete Count,baseline_precision,baseline_recall,precision,recall,doc_file,impl_file
20,0,0.0,0.0,0.0,0.0,0.0,0.0
20,1,0.7143,0.2844,0.7143,0.1781,115.4286,20.4286
20,2,1.0,0.4264,1.0,0.2953,243.0,66.3
20,3,1.0,0.6144,1.0,0.4637,317.8,149.5
20,4,1.0,0.5745,0.9956,0.4765,442.1,197.8
20,5,1.0,0.6318,0.9918,0.6039,654.9,392.5
20,6,1.0,0.8533,0.9929,0.8782,692.5714,604.4286
40,0,0.0,0.0,0.0,0.0,0.0,0.0
40,1,0.8571,0.424,0.8571,0.3187,115.4286,32.1429
40,2,1.0,0.6789,1.0,0.4629,212.6,89.8
40,3,1.0,0.6606,1.0,0.5653,270.3,141.4
40,4,1.0,0.7886,0.9855,0.6653,433.5,271.5
40,5,1.0,0.865,0.9813,0.8433,537.7,458.9
40,6,1.0,0.8967,0.9948,0.8925,692.5714,613.8571
60,0,0.0,0.0,0.0,0.0,0.0,0.0
60,1,0.5114,0.4622,0.8539,0.3609,115.4286,37.2857
60,2,0.7193,0.5303,0.9312,0.3599,263.6,91.6
60,3,0.8466,0.7618,0.9521,0.6699,344.5,235.2
60,4,0.8762,0.6744,0.9621,0.5959,461.7,288.8
60,5,0.9787,0.8173,0.9904,0.7854,630.0,484.6
60,6,0.958,0.9078,0.9661,0.8988,692.5714,634.2857
80,0,0.0,0.0,0.0,0.0,0.0,284.0
80,1,0.2304,0.7895,0.2475,0.653,115.4286,344.8571
80,2,0.4292,0.8216,0.4547,0.7835,238.4,420.0
80,3,0.5086,0.8866,0.5409,0.8619,298.3,493.7
