file_path,WebUI,Auth,Recommender,Registry,ImageProvider,best_module,best_likelihood
services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/rest/RegistryStartup.java,10.00,0.00,0.00,100.00,0.00,Registry,100.00
services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/rest/HeartbeatInfo.java,0.00,0.00,0.00,100.00,0.00,Registry,100.00
services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/rest/RegistryREST.java,0.00,0.00,0.00,100.00,0.00,Registry,100.00
services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/rest/Registry.java,0.00,0.00,0.00,100.00,0.00,Registry,100.00
services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/servlet/IndexServlet.java,5.00,0.00,0.00,95.00,0.00,Registry,95.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/daemons/InitialDataGenerationDaemon.java,80.00,5.00,0.00,5.00,0.00,WebUI,80.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/CategoryEndpoint.java,10.00,0.00,0.00,0.00,0.00,WebUI,10.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/OrderEndpoint.java,10.00,5.00,5.00,5.00,0.00,WebUI,10.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/ProductEndpoint.java,5.00,0.00,10.00,0.00,0.00,Recommender,10.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/OrderItemEndpoint.java,5.00,0.00,10.00,0.00,0.00,Recommender,10.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/DatabaseGenerationEndpoint.java,5.00,0.00,0.00,0.00,0.00,WebUI,5.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/UserEndpoint.java,10.00,30.00,0.00,0.00,0.00,Auth,30.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/CacheManagerEndpoint.java,0.00,0.00,5.00,10.00,85.00,ImageProvider,85.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/converters/LocalDateAttributeConverter.java,10.00,0.00,0.00,0.00,0.00,WebUI,10.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/converters/LocalDateTimeAttributeConverter.java,0.00,0.00,0.00,0.00,0.00,WebUI,0.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/CategoryRepository.java,0.00,0.00,5.00,0.00,0.00,Recommender,5.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/PersistenceOrderItem.java,10.00,0.00,10.00,0.00,0.00,WebUI,10.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/ProductRepository.java,0.00,0.00,0.00,0.00,0.00,WebUI,0.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/PersistenceOrder.java,0.00,0.00,10.00,0.00,0.00,Recommender,10.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/PersistenceProduct.java,5.00,0.00,10.00,0.00,5.00,Recommender,10.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/PersistenceCategory.java,5.00,0.00,10.00,0.00,5.00,Recommender,10.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/PersistenceUser.java,10.00,30.00,20.00,0.00,0.00,Auth,30.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/OrderItemRepository.java,10.00,0.00,20.00,0.00,0.00,Recommender,20.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/UserRepository.java,0.00,90.00,10.00,0.00,0.00,Auth,90.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/OrderRepository.java,0.00,0.00,10.00,0.00,0.00,Recommender,10.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/repository/DataGenerator.java,0.00,0.00,0.00,0.00,0.00,WebUI,0.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/repository/CacheManager.java,5.00,0.00,5.00,0.00,10.00,ImageProvider,10.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/repository/AbstractPersistenceRepository.java,0.00,5.00,5.00,0.00,5.00,Auth,5.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/repository/DatabaseManagementEntity.java,0.00,0.00,0.00,0.00,0.00,WebUI,0.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/repository/EMFManager.java,5.00,10.00,5.00,0.00,0.00,Auth,10.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/servlet/IndexServlet.java,95.00,5.00,0.00,0.00,0.00,WebUI,95.00
services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/ReadyRest.java,5.00,25.00,0.00,15.00,0.00,Auth,25.00
services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/AuthUserActionsRest.java,0.00,100.00,0.00,0.00,0.00,Auth,100.00
services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/AuthCartRest.java,10.00,30.00,20.00,0.00,0.00,Auth,30.00
services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/security/BCryptProvider.java,0.00,100.00,0.00,0.00,0.00,Auth,100.00
services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/security/ConstantKeyProvider.java,10.00,95.00,0.00,0.00,0.00,Auth,95.00
services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/security/RandomSessionIdGenerator.java,10.00,95.00,0.00,0.00,0.00,Auth,95.00
services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/security/ISecurityProvider.java,10.00,90.00,0.00,0.00,0.00,Auth,90.00
services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/security/IKeyProvider.java,5.00,95.00,0.00,0.00,0.00,Auth,95.00
services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/security/ShaSecurityProvider.java,0.00,100.00,0.00,0.00,0.00,Auth,100.00
services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/security/ISessionIdGenerator.java,10.00,95.00,0.00,0.00,0.00,Auth,95.00
services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/startup/AuthStartup.java,30.00,90.00,5.00,5.00,0.00,Auth,90.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/entry/ICachable.java,10.00,0.00,0.00,0.00,90.00,ImageProvider,90.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/entry/TimedEntry.java,10.00,0.00,0.00,0.00,90.00,ImageProvider,90.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/entry/AbstractEntry.java,5.00,0.00,0.00,0.00,95.00,ImageProvider,95.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/entry/ICacheEntry.java,0.00,0.00,0.00,0.00,100.00,ImageProvider,100.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/entry/SimpleEntry.java,10.00,0.00,0.00,0.00,90.00,ImageProvider,90.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/entry/CountedEntry.java,5.00,0.00,0.00,0.00,95.00,ImageProvider,95.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/rules/CacheAll.java,20.00,0.00,5.00,0.00,95.00,ImageProvider,95.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/LeastFrequentlyUsed.java,10.00,0.00,0.00,0.00,90.00,ImageProvider,90.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/AbstractCache.java,5.00,0.00,5.00,5.00,85.00,ImageProvider,85.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/RandomReplacement.java,10.00,0.00,5.00,0.00,85.00,ImageProvider,85.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/IDataCache.java,0.00,0.00,0.00,0.00,100.00,ImageProvider,100.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/FirstInFirstOut.java,10.00,0.00,0.00,0.00,90.00,ImageProvider,90.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/LastInFirstOut.java,10.00,0.00,0.00,0.00,90.00,ImageProvider,90.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/MostRecentlyUsed.java,10.00,0.00,5.00,0.00,85.00,ImageProvider,85.00
services/tools.descartes.teastore.image/src/main/java/tools/descartes/teastore/image/cache/AbstractQueueCache.java,10.00,0.00,0.00,0.00,90.00,ImageProvider,90.00
