Project,Module,File,GT,LLMProb@10,Score@10,LLMProb@20,Score@20,LLMProb@30,Score@30,LLMProb@40,Score@40,LLMProb@50,Score@50,LLMProb@60,Score@60,LLMProb@70,Score@70,LLMProb@80,Score@80,LLMProb@90,Score@90
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/web/services/KeepAlivePing.java,None,Redis PubSub,85.00,Redis PubSub,85.00,Redis PubSub,85.00,Redis PubSub,85.00,Redis PubSub,85.00,Redis PubSub,85.00,Redis PubSub,85.00,Redis PubSub,85.00,None,85.00
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Bezier.java,None,Presentation Conversion,90.00,Presentation Conversion,90.00,Presentation Conversion,90.00,Presentation Conversion,90.00,Presentation Conversion,90.00,Presentation Conversion,90.00,Presentation Conversion,90.00,Presentation Conversion,90.00,None,90.00
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/TextFileCreatorImp.java,Presentation Conversion,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/SvgConversionHandler.java,Presentation Conversion,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/GetAllUsersCommand.java,FreeSWITCH,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/PresentationConvertMessage.java,Presentation Conversion,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00
bigbluebutton,Apps__BBB web__FSESL,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/commands/MuteUserCommand.java,FreeSWITCH,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00,FreeSWITCH,100.00
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/ConversionUpdateMessage.java,Presentation Conversion,Presentation Conversion,90.00,Presentation Conversion,90.00,Presentation Conversion,90.00,Presentation Conversion,90.00,Presentation Conversion,90.00,Presentation Conversion,90.00,Presentation Conversion,90.00,Presentation Conversion,90.00,None,90.00
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PresentationUrlDownloadService.java,Presentation Conversion,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00,Presentation Conversion,95.00
bigbluebutton,Apps__BBB web__FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/Pdf2PngPageConverterHandler.java,Presentation Conversion,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00,Presentation Conversion,99.00
