file_path,Logic,Storage,Common,E2E,Client,best_module,best_likelihood
src/lnp/java/teammates/lnp/cases/StudentSectionUpdateLNPTest.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/lnp/java/teammates/lnp/cases/StudentEmailUpdateLNPTest.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/lnp/java/teammates/lnp/cases/FeedbackQuestionUpdateLNPTest.java,0.00,0.00,0.00,80.00,20.00,E2E,80.00
src/lnp/java/teammates/lnp/cases/StudentTeamUpdateLNPTest.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/lnp/java/teammates/lnp/cases/InstructorStudentEnrollmentLNPTest.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/lnp/java/teammates/lnp/cases/InstructorCourseUpdateLNPTest.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/lnp/java/teammates/lnp/cases/BaseLNPTestCase.java,0.00,0.00,5.00,95.00,0.00,E2E,95.00
src/lnp/java/teammates/lnp/cases/FeedbackSessionViewLNPTest.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/lnp/java/teammates/lnp/cases/FeedbackSessionSubmitLNPTest.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/lnp/java/teammates/lnp/cases/InstructorUpdateLNPTest.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/lnp/java/teammates/lnp/cases/InstructorSessionResultLNPTest.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/lnp/java/teammates/lnp/cases/package-info.java,10.00,5.00,10.00,70.00,5.00,E2E,70.00
src/lnp/java/teammates/lnp/cases/InstructorStudentCascadingUpdateLNPTest.java,0.00,0.00,0.00,95.00,0.00,E2E,95.00
src/lnp/java/teammates/lnp/util/TestProperties.java,0.00,0.00,0.00,0.00,0.00,Logic,0.00
src/lnp/java/teammates/lnp/util/BackDoor.java,10.00,5.00,30.00,50.00,5.00,E2E,50.00
src/lnp/java/teammates/lnp/util/LNPTestData.java,10.00,5.00,20.00,95.00,0.00,E2E,95.00
src/lnp/java/teammates/lnp/util/JMeterElements.java,0.00,0.00,5.00,95.00,0.00,E2E,95.00
src/lnp/java/teammates/lnp/util/LNPSpecification.java,0.00,0.00,20.00,90.00,0.00,E2E,90.00
src/lnp/java/teammates/lnp/util/LNPResultsStatistics.java,10.00,0.00,30.00,90.00,5.00,E2E,90.00
src/lnp/java/teammates/lnp/util/package-info.java,0.00,0.00,20.00,80.00,0.00,E2E,80.00
src/e2e/java/teammates/e2e/pageobjects/InstructorCourseStudentDetailsEditPage.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/InstructorCourseEnrollPage.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/InstructorFeedbackSessionsPage.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
