file_path,Image,Persistence,Recommender,Registry,best_module,best_likelihood
teastore\services\tools.descartes.teastore.auth\src\main\java\tools\descartes\teastore\auth\security\ISecurityProvider.java,0.0,5.628488142974675E-4,0.0,2.2982897758483887,Registry,2.2982897758483887
teastore\services\tools.descartes.teastore.image\src\main\java\tools\descartes\teastore\image\storage\rules\StoreLargeImages.java,69.99807739257812,5.515642696991563E-4,0.0,2.292309284210205,Image,69.99807739257812
teastore\utilities\tools.descartes.teastore.registryclient\src\main\java\tools\descartes\teastore\registryclient\util\RESTClient.java,0.0,3.839252233505249,1.7995014190673828,37.349151611328125,Registry,37.349151611328125
teastore\services\tools.descartes.teastore.recommender\src\test\java\tools\descartes\teastore\recommender\algorithm\AbstractRecommenderTest.java,0.16276001930236816,0.44053685665130615,104.40586853027344,2.707911968231201,Recommender,104.40586853027344
teastore\services\tools.descartes.teastore.auth\src\test\java\tools\descartes\teastore\auth\security\ConstantKeyProviderTest.java,0.0,5.605551414191723E-4,0.0,2.297074317932129,Registry,2.297074317932129
teastore\services\tools.descartes.teastore.image\src\main\java\tools\descartes\teastore\image\cache\entry\SimpleEntry.java,69.11210632324219,0.8925963640213013,0.6734336614608765,2.2946724891662598,Image,69.11210632324219
teastore\services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\CartActionServlet.java,4.577050685882568,0.7383067607879639,5.6596832275390625,2.1520657539367676,Recommender,5.6596832275390625
teastore\utilities\tools.descartes.teastore.registryclient\src\main\java\tools\descartes\teastore\registryclient\StartupCallback.java,0.0,5.893768393434584E-4,0.0,35.0,Registry,35.0
teastore\services\tools.descartes.teastore.image\src\test\java\tools\descartes\teastore\image\cache\TestLeastFrequentlyUsed.java,63.42563247680664,3.744094865396619E-4,0.5218366384506226,2.1984236240386963,Image,63.42563247680664
teastore\utilities\tools.descartes.teastore.registryclient\src\main\java\tools\descartes\teastore\registryclient\rest\TrackingFilter.java,4.442601680755615,0.0012049314100295305,1.2538422346115112,39.528873443603516,Registry,39.528873443603516
teastore\services\tools.descartes.teastore.webui\src\main\java\tools\descartes\teastore\webui\servlet\ProfileServlet.java,41.03015899658203,73.1452407836914,11.123481750488281,2.609980583190918,Persistence,73.1452407836914
teastore\services\tools.descartes.teastore.recommender\src\main\java\tools\descartes\teastore\recommender\algorithm\impl\cf\SlopeOneRecommender.java,1.5677504539489746,1.413716435432434,91.64631652832031,4.976781368255615,Recommender,91.64631652832031
