file_path,Facade,MediaManagement,UserManagement,UserDBAdapter,TagWatermarking,Packaging,ReEncoder,Database,FileStorage,best_module,best_likelihood
Implementation/mediastore.ejb.tagwatermarking/src/edu/kit/ipd/sdq/mediastore/ejb/tagwatermarking/TagWatermarkingImpl.java,0.00,10.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,TagWatermarking,100.00
Implementation/mediastore.ejb.packaging/src/edu/kit/ipd/sdq/mediastore/ejb/packaging/PackagingImpl.java,0.00,10.00,0.00,0.00,0.00,99.00,1.00,0.00,0.00,Packaging,99.00
Implementation/mediastore.ejb.mediamanagement/src/edu/kit/ipd/sdq/mediastore/ejb/mediamanagement/MediaManagementImpl.java,0.00,100.00,0.00,0.00,0.00,5.00,0.00,0.00,10.00,MediaManagement,100.00
Implementation/mediastore.ejb.reencoder/src/edu/kit/ipd/sdq/mediastore/ejb/reencoder/ReEncoderImpl.java,5.00,15.00,0.00,0.00,5.00,5.00,95.00,0.00,10.00,ReEncoder,95.00
Implementation/mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/Audio.java,10.00,20.00,5.00,15.00,0.00,0.00,0.00,85.00,5.00,Database,85.00
Implementation/mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/MediaAccessImpl.java,20.00,85.00,0.00,5.00,0.00,30.00,0.00,10.00,25.00,MediaManagement,85.00
Implementation/mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/DbManager.java,0.00,20.00,10.00,15.00,0.00,0.00,0.00,70.00,30.00,Database,70.00
Implementation/mediastore.ejb.cache/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/cache/CacheSingleton.java,0.00,30.00,5.00,10.00,0.00,0.00,5.00,20.00,70.00,FileStorage,70.00
Implementation/mediastore.ejb.cache/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/cache/IdAndBitrate.java,0.00,10.00,0.00,0.00,5.00,0.00,70.00,5.00,10.00,ReEncoder,70.00
Implementation/mediastore.ejb.cache/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/cache/CacheImpl.java,10.00,25.00,0.00,0.00,0.00,0.00,0.00,5.00,15.00,MediaManagement,25.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/filters/MainFilter.java,90.00,5.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/SessionBean.java,90.00,5.00,15.00,5.00,0.00,0.00,0.00,0.00,0.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/UploadBean.java,90.00,20.00,10.00,5.00,0.00,0.00,5.00,0.00,15.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/DownloadBean.java,80.00,20.00,0.00,0.00,0.00,10.00,0.00,0.00,5.00,Facade,80.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/WebBeanManager.java,90.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/RegisterBean.java,0.00,0.00,80.00,10.00,0.00,0.00,0.00,0.00,0.00,UserManagement,80.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/LoginBean.java,80.00,0.00,30.00,10.00,0.00,0.00,0.00,0.00,0.00,Facade,80.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/utils/SessionUtil.java,80.00,5.00,20.00,2.00,0.00,0.00,0.00,1.00,0.00,Facade,80.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/utils/MessageUtil.java,85.00,20.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,85.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Main.java,0.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,10.00,FileStorage,10.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/InterfaceDetails.java,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MediaManagement,5.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Config.java,0.00,30.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,MediaManagement,30.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/EJB.java,5.00,75.00,0.00,0.00,0.00,5.00,5.00,0.00,10.00,MediaManagement,75.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/RequiredInterface.java,0.00,10.00,5.00,5.00,5.00,5.00,5.00,15.00,30.00,FileStorage,30.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/GlobalConstantsContainer.java,5.00,15.00,5.00,5.00,5.00,10.00,5.00,5.00,45.00,FileStorage,45.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/ProvidedInterface.java,5.00,30.00,5.00,5.00,1.00,1.00,1.00,1.00,1.00,MediaManagement,30.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/FailedDownloadException.java,10.00,80.00,0.00,0.00,20.00,30.00,5.00,0.00,10.00,MediaManagement,80.00
