file_path,app,backends,bin,concurrency,contrib,events,loaders,security,utils,worker,best_module,best_likelihood
celery\t\integration\worker_config.py,8.787238121032715,4.05128288269043,11.877965927124023,3.511812210083008,9.279802322387695,4.228070259094238,6.056807041168213,1.0008935928344727,4.6839599609375,97.15774536132812,worker,97.15774536132812
celery\t\unit\backends\test_base.py,114.72831726074219,173.96031188964844,113.77413940429688,28.486373901367188,24.390457153320312,26.944393157958984,23.71450424194336,66.99366760253906,40.834739685058594,44.35137176513672,backends,173.96031188964844
celery\t\integration\test_connection_recovery.py,58.69975280761719,2.7473559379577637,5.696633338928223,3.781522274017334,11.040255546569824,1.0010650157928467,2.0459272861480713,1.349352478981018,4.7975592613220215,2.9272940158843994,app,58.69975280761719
celery\t\integration\test_tasks.py,94.34576416015625,88.73877716064453,117.81639862060547,34.62705993652344,35.657222747802734,36.597652435302734,71.2525863647461,13.631872177124023,41.28311538696289,124.67703247070312,worker,124.67703247070312
celery\t\unit\tasks\test_states.py,7.471182346343994,5.70120906829834,13.72841739654541,4.172069549560547,8.918853759765625,12.75674819946289,10.032511711120605,3.0868539810180664,3.5689101219177246,10.793680191040039,bin,13.72841739654541
celery\t\unit\utils\test_collections.py,52.37735366821289,4.800036430358887,155.3186492919922,8.272228240966797,13.996076583862305,4.8388824462890625,22.797807693481445,8.481264114379883,70.26942443847656,19.377490997314453,bin,155.3186492919922
celery\t\unit\bin\proj\app2.py,47.961669921875,0.0,99.16194152832031,0.6683458685874939,1.0009167194366455,1.0009167194366455,1.358290672302246,1.0009167194366455,2.671428918838501,1.0009167194366455,bin,99.16194152832031
celery\t\unit\security\__init__.py,4.309186935424805,1.2389847040176392,3.893096685409546,1.0683931112289429,3.883226156234741,2.0692975521087646,2.0692975521087646,129.9753875732422,3.668178081512451,3.3082823753356934,security,129.9753875732422
celery\t\smoke\tests\quorum_queues\test_default_queue_type.py,78.14582824707031,13.25494384765625,21.484872817993164,5.101011276245117,12.930373191833496,6.550294876098633,12.149544715881348,6.789853572845459,8.338912010192871,109.16364288330078,worker,109.16364288330078
celery\t\unit\utils\test_nodenames.py,2.8597073554992676,5.430928707122803,9.526021957397461,1.1859543323516846,5.55656099319458,2.8707659244537354,3.902012825012207,4.501575469970703,88.7088394165039,72.91358184814453,utils,88.7088394165039
celery\celery\apps\multi.py,73.65645599365234,35.41646194458008,80.84490203857422,5.900213718414307,9.668867111206055,12.981971740722656,31.579133987426758,3.5362770557403564,47.77979278564453,84.83330535888672,worker,84.83330535888672
celery\t\unit\fixups\__init__.py,2.1749229431152344,0.1730874627828598,3.1758406162261963,0.0,1.174005150794983,1.000917673110962,1.000917673110962,1.000917673110962,1.174005150794983,1.174005150794983,bin,3.1758406162261963
