ArchitectureElementId,CodeElementId,ModuleName
_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/systemd_start.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/opts-jammy.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/mongod_start_pre.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/after-install.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/kill_mongo.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/after-remove.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/build.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/before-install.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/workers-start.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/run_mongo.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/systemd_start_frontend.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,build/packages-template/bbb-html5/before-remove.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,bigbluebutton-html5/transifex.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,bigbluebutton-html5/test-html5.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,bigbluebutton-html5/run-dev.sh,HTML5 Client
_0e5u8FkHEeyewPSmlgszyA,bigbluebutton-html5/deploy_to_usr_share.sh,HTML5 Client
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/PresentationConvertMessage.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/DocumentConversionService.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/SvgConversionHandler.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/OfficeToPdfConversionSuccessFilter.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/OfficeToPdfConversionService.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PageAnalyser.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocInvalidMimeType.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/ImageResizer.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/PresentationToConvert.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageCountFailed.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/imp/BigPdfException.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageCompletedProgress.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/handlers/Office2PdfConverterHandler.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/PngCreator.java,Presentation Conversion
_2BgxMFkHEeyewPSmlgszyA,bbb-common-web/src/main/java/org/bigbluebutton/presentation/FileTypeConstants.java,Presentation Conversion
