file_path,data,model,backtest,workflow,rl,run,tests,utils,contrib,best_module,best_likelihood
backtest\high_performance_ds.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,data,85.00
backtest\position.py,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,backtest,85.00
backtest\backtest.py,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,backtest,85.00
backtest\report.py,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,backtest,95.00
backtest\account.py,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,5.00,backtest,95.00
backtest\utils.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,data,90.00
backtest\decision.py,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,backtest,95.00
backtest\__init__.py,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,backtest,90.00
backtest\exchange.py,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,backtest,85.00
backtest\executor.py,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,backtest,90.00
backtest\signal.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,90.00
backtest\profit_attribution.py,20.00,5.00,30.00,10.00,0.00,0.00,0.00,5.00,20.00,None,30.00
contrib\data\utils\__init__.py,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,None,10.00
contrib\data\utils\sepdf.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,90.00
contrib\data\data.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
contrib\data\loader.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,data,95.00
contrib\data\highfreq_handler.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
contrib\data\dataset.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
contrib\data\__init__.py,10.00,10.00,10.00,10.00,10.00,10.00,30.00,20.00,10.00,None,30.00
contrib\data\handler.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,data,95.00
contrib\data\highfreq_provider.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,data,85.00
contrib\data\processor.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,100.00
contrib\data\highfreq_processor.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,data,95.00
contrib\eva\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\eva\alpha.py,0.00,0.00,85.00,5.00,0.00,0.00,0.00,0.00,10.00,backtest,85.00
contrib\meta\data_selection\utils.py,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,model,90.00
contrib\meta\data_selection\net.py,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,model,85.00
