file_path,backends,bin,concurrency,contrib,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
app\events.py,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,events,98.00
app\annotations.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,utils,90.00
app\routes.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,utils,90.00
app\defaults.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00,utils,98.00
app\log.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
app\control.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,worker,95.00
app\autoretry.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
app\backends.py,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,loaders,90.00
app\registry.py,2.00,1.00,1.00,3.00,1.00,2.00,95.00,1.00,4.00,3.00,loaders,95.00
app\builtins.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,utils,85.00
app\amqp.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,worker,85.00
app\trace.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,worker,98.00
app\utils.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
app\task.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
app\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,utils,85.00
app\base.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,utils,65.00
apps\beat.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
apps\__init__.py,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,50.00
apps\worker.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
apps\multi.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
backends\database\models.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\database\__init__.py,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,99.00
backends\database\session.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\couchbase.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\couchdb.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\consul.py,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,99.00
backends\cache.py,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,99.00
backends\cassandra.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\cosmosdbsql.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\dynamodb.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\elasticsearch.py,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,99.00
backends\azureblockblob.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\arangodb.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\asynchronous.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\base.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
backends\__init__.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\filesystem.py,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,99.00
backends\gcs.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\mongodb.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\s3.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,98.00
backends\redis.py,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,backends,99.00
backends\rpc.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bin\list.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
bin\beat.py,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,98.00
