file_path,backends,bin,concurrency,contrib,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
app\backends.py,95.00,0.00,0.00,1.00,0.00,0.00,2.00,0.00,2.00,0.00,backends,95.00
app\events.py,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,1.00,0.00,events,99.00
app\task.py,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,5.00,93.00,worker,93.00
app\control.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,99.00,worker,99.00
app\defaults.py,0.00,0.00,0.00,0.00,0.00,5.00,90.00,0.00,4.00,1.00,loaders,90.00
app\routes.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
app\registry.py,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,85.00,worker,85.00
app\log.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,70.00,worker,70.00
app\autoretry.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
app\builtins.py,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,10.00,85.00,worker,85.00
app\amqp.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,98.00,worker,98.00
app\trace.py,5.00,0.00,3.00,0.00,10.00,0.00,0.00,0.00,8.00,94.00,worker,94.00
app\annotations.py,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,90.00,0.00,utils,90.00
app\utils.py,0.00,0.00,0.00,5.00,0.00,5.00,10.00,0.00,95.00,0.00,utils,95.00
app\base.py,5.00,2.00,3.00,1.00,4.00,2.00,10.00,3.00,15.00,5.00,None,15.00
app\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,None,10.00
apps\__init__.py,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,None,10.00
apps\multi.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,10.00,bin,95.00
apps\beat.py,0.00,95.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,bin,95.00
