file_path,general,http_general,httpserver,pools,sampling,services,ssl,transport,best_module,best_likelihood
proxygen\proxygen\lib\http\coro\test\HttpWtUpstreamTests.cpp,7.5042033195495605,49.93984603881836,5.996719837188721,2.330876350402832,3.287857980467379E-4,5.213840961456299,57.41844177246094,130.35714721679688,transport,130.35714721679688
proxygen\proxygen\lib\http\codec\test\CodecUtilTests.cpp,3.1192400455474854,48.34161376953125,4.209956169128418,1.3405524492263794,3.6893010837957263E-4,2.799588680267334,18.438312530517578,1.1195377111434937,http_general,48.34161376953125
proxygen\proxygen\lib\http\structuredheaders\StructuredFields.h,3.370065212249756,45.9301643371582,3.783865451812744,7.441204071044922,3.6897993413731456E-4,1.9333142042160034,13.498794555664062,0.27772071957588196,http_general,45.9301643371582
proxygen\proxygen\httpserver\samples\hq\HQClient.cpp,9.088281631469727,48.36893844604492,76.94827270507812,5.520017623901367,1.5635566711425781,11.022636413574219,13.333152770996094,80.57855224609375,transport,80.57855224609375
proxygen\proxygen\lib\http\HTTPMethod.h,1.2460933923721313,47.70380401611328,3.8113489151000977,1.3196005821228027,4.385249922052026E-4,1.3595809936523438,1.2491813898086548,0.36892077326774597,http_general,47.70380401611328
proxygen\proxygen\httpclient\samples\curl\CurlClient.h,1.4321963787078857,44.580997467041016,4.357173442840576,3.8739709854125977,5.038128583692014E-4,1.0349630117416382,48.56195068359375,5.038128583692014E-4,ssl,48.56195068359375
proxygen\proxygen\lib\http\coro\HTTPEvents.h,3.70828914642334,47.82009506225586,3.3617660999298096,1.0,4.2594471597112715E-4,2.447972059249878,1.135502576828003,4.180184364318848,http_general,47.82009506225586
proxygen\proxygen\lib\http\observer\HTTPTransactionObserverContainer.h,1.24444580078125,47.6387939453125,3.812185287475586,2.32373046875,4.3683487456291914E-4,1.3517251014709473,0.18300676345825195,0.36645036935806274,http_general,47.6387939453125
proxygen\proxygen\lib\pools\generators\ServerListGenerator.h,0.9470080733299255,0.3201464116573334,6.0468292236328125,134.5906524658203,4.018742183689028E-4,1.7053437232971191,0.0,4.018742183689028E-4,pools,134.5906524658203
proxygen\proxygen\lib\http\coro\filters\VisitorFilter.h,2.1714305877685547,49.26344680786133,3.543415069580078,2.0383553504943848,4.638313839677721E-4,1.7550796270370483,1.2036067247390747,0.4076773226261139,http_general,49.26344680786133
proxygen\proxygen\httpclient\samples\curl\CurlClient.cpp,3.1012160778045654,58.20703125,5.311634540557861,5.936578750610352,4.296689876355231E-4,2.1729681491851807,79.46096801757812,1.4081337451934814,ssl,79.46096801757812
proxygen\proxygen\lib\http\codec\HTTPChecks.h,4.221035957336426,49.56869888305664,3.554030179977417,1.0,4.687642795033753E-4,3.2854621410369873,17.180721282958984,0.41563987731933594,http_general,49.56869888305664
proxygen\proxygen\lib\http\SynchronizedLruQuicPskCache.cpp,2.8225653171539307,47.76886749267578,4.845695495605469,2.377831220626831,4.2604428017511964E-4,1.9071637392044067,29.704811096191406,9.752469062805176,http_general,47.76886749267578
