file_path,app,bin,concurrency,contrib,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
app\backends.py,0.00,0.00,0.00,0.00,0.00,0.00,65.00,0.00,0.00,0.00,loaders,65.00
app\annotations.py,15.00,0.00,0.00,0.00,0.00,0.00,80.00,0.00,0.00,5.00,loaders,80.00
app\control.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,worker,95.00
app\routes.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,90.00
app\log.py,75.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,5.00,app,75.00
app\registry.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,90.00
app\defaults.py,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,loaders,85.00
app\builtins.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,95.00
app\events.py,10.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,events,90.00
app\base.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,95.00
app\amqp.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,85.00
app\autoretry.py,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,60.00,worker,60.00
app\task.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,95.00
app\utils.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,85.00
app\trace.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,85.00
app\__init__.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,90.00
apps\worker.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,worker,95.00
apps\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
apps\multi.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,worker,70.00
apps\beat.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
backends\database\session.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,worker,85.00
backends\database\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,None,40.00
backends\database\models.py,5.00,1.00,1.00,5.00,1.00,1.00,1.00,1.00,5.00,10.00,None,10.00
backends\elasticsearch.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,95.00
backends\arangodb.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,90.00
backends\base.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,worker,60.00
backends\azureblockblob.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,95.00
backends\consul.py,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,85.00
backends\asynchronous.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,worker,90.00
backends\couchbase.py,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,100.00
backends\cache.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,None,20.00
backends\cassandra.py,20.00,0.00,0.00,60.00,0.00,0.00,0.00,0.00,5.00,15.00,contrib,60.00
backends\couchdb.py,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,80.00
backends\cosmosdbsql.py,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,90.00
backends\dynamodb.py,0.00,0.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,80.00
backends\filesystem.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,worker,90.00
backends\mongodb.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,0.00,utils,70.00
backends\gcs.py,10.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,5.00,contrib,85.00
backends\rpc.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,worker,85.00
backends\s3.py,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,contrib,70.00
backends\redis.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,worker,60.00
backends\__init__.py,60.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,app,60.00
bin\multi.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
bin\beat.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\call.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\list.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\control.py,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,100.00
bin\celery.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
bin\graph.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
bin\amqp.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
bin\events.py,0.00,70.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,bin,70.00
bin\logtool.py,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
