file_path,app,backends,bin,concurrency,contrib,fixups,loaders,security,utils,worker,best_module,best_likelihood
celery\t\integration\worker_config.py,8.787238121032715,4.05128288269043,11.877965927124023,3.511812210083008,9.279802322387695,4.986095905303955,6.056807041168213,1.0008935928344727,4.6839599609375,97.15774536132812,worker,97.15774536132812
celery\t\unit\backends\test_base.py,114.21240997314453,173.96031188964844,113.77413940429688,29.009151458740234,24.390457153320312,17.82807159423828,23.71450424194336,66.99366760253906,40.516178131103516,44.35137176513672,backends,173.96031188964844
celery\t\integration\test_connection_recovery.py,57.86953353881836,2.7473559379577637,5.696633338928223,3.781522274017334,11.040255546569824,2.8964717388153076,2.0459272861480713,1.349352478981018,4.7975592613220215,2.9272940158843994,app,57.86953353881836
celery\t\integration\test_tasks.py,94.04286193847656,88.73877716064453,118.1151123046875,34.93825149536133,35.657222747802734,7.992237091064453,71.2525863647461,13.631872177124023,41.586463928222656,124.67703247070312,worker,124.67703247070312
celery\t\unit\tasks\test_states.py,7.471182346343994,5.70120906829834,13.72841739654541,4.172069549560547,8.918853759765625,1.808488368988037,10.032511711120605,3.0868539810180664,3.5689101219177246,10.793680191040039,bin,13.72841739654541
celery\t\unit\utils\test_collections.py,52.37735366821289,4.800036430358887,157.0645294189453,8.753890991210938,13.996076583862305,7.326236248016357,22.797807693481445,8.481264114379883,69.45218658447266,19.377490997314453,bin,157.0645294189453
celery\t\unit\bin\proj\app2.py,47.961669921875,0.0,99.16194152832031,0.6683458685874939,1.0009167194366455,1.0009167194366455,1.358290672302246,1.0009167194366455,2.671428918838501,1.0009167194366455,bin,99.16194152832031
celery\t\unit\security\__init__.py,3.102055072784424,1.2389847040176392,5.310091018676758,1.0683931112289429,2.6760945320129395,2.0692975521087646,2.0692975521087646,129.9753875732422,3.668178081512451,2.1011505126953125,security,129.9753875732422
celery\t\smoke\tests\quorum_queues\test_default_queue_type.py,78.14582824707031,13.25494384765625,21.484872817993164,5.101011276245117,12.930373191833496,1.6204452514648438,12.149544715881348,6.789853572845459,8.338912010192871,109.16364288330078,worker,109.16364288330078
celery\t\unit\utils\test_nodenames.py,2.8597073554992676,5.430928707122803,9.526021957397461,1.5657901763916016,5.55656099319458,1.0009034872055054,3.902012825012207,4.501575469970703,88.7088394165039,72.91358184814453,utils,88.7088394165039
celery\celery\apps\multi.py,74.25701141357422,35.647003173828125,80.84490203857422,5.900213718414307,9.668867111206055,4.500514030456543,31.579133987426758,3.5362770557403564,46.882999420166016,84.83330535888672,worker,84.83330535888672
celery\t\unit\fixups\__init__.py,2.1749229431152344,0.1730874627828598,3.1758406162261963,0.0,1.174005150794983,141.13821411132812,1.000917673110962,1.000917673110962,1.174005150794983,1.174005150794983,fixups,141.13821411132812
celery\t\unit\backends\test_s3.py,75.58981323242188,146.07997131347656,12.3341703414917,4.432989597320557,9.194750785827637,8.043549537658691,6.4063239097595215,11.655488014221191,16.30734634399414,8.76810073852539,backends,146.07997131347656
celery\examples\celery_http_gateway\settings.py,76.4653091430664,140.13087463378906,19.25981903076172,4.791625022888184,123.24369812011719,9.341386795043945,108.3661117553711,10.807062149047852,40.48602294921875,23.92949867248535,backends,140.13087463378906
celery\t\unit\tasks\unit_tasks.py,6.144681453704834,4.142862319946289,9.256800651550293,4.142862319946289,3.6703805923461914,1.0009095668792725,7.215203285217285,3.072340726852417,3.787534236907959,7.235092639923096,bin,9.256800651550293
celery\celery\bin\base.py,77.9363021850586,19.820592880249023,127.74308776855469,10.035213470458984,15.563886642456055,9.718705177307129,41.5107421875,15.833377838134766,24.474533081054688,46.35104751586914,bin,127.74308776855469
celery\t\unit\tasks\test_stamping.py,81.23934936523438,29.486068725585938,98.73118591308594,9.697325706481934,25.423826217651367,5.218238830566406,70.42571258544922,8.260252952575684,13.547616004943848,21.27385139465332,bin,98.73118591308594
celery\t\unit\events\test_cursesmon.py,66.09716796875,6.224287986755371,84.68788146972656,6.341158866882324,8.9385986328125,2.5738699436187744,11.89041519165039,3.5584940910339355,10.017343521118164,77.91633605957031,bin,84.68788146972656
celery\celery\bin\celery.py,98.96448516845703,69.2871322631836,164.7018280029297,18.489330291748047,51.36582946777344,19.75626564025879,76.82344055175781,12.648721694946289,38.5847282409668,130.7506561279297,bin,164.7018280029297
celery\celery\worker\state.py,59.07769012451172,14.252972602844238,31.81525421142578,7.595755577087402,10.967791557312012,5.001848220825195,42.58938217163086,5.566257953643799,20.266082763671875,91.04533386230469,worker,91.04533386230469
