file_path,gui,logic,model,best_module,best_likelihood
jabref\src\test\java\org\jabref\logic\importer\fileformat\SilverPlatterImporterTest.java,0.05839152336120605,1864.7935485839844,0.07207046917506627,logic,1864.7935485839844
jabref\buildSrc\src\copied\java\org\jabref\logic\journals\JournalAbbreviationRepository.java,0.3418504170009068,1763.2593154907227,0.07889887264796666,logic,1763.2593154907227
jabref\src\main\java\org\jabref\gui\util\UiThreadList.java,2512.209701538086,0.05859381130763463,0.028576953070504323,gui,2512.209701538086
jabref\src\main\java\org\jabref\logic\msbib\BibTeXConverter.java,0.35917385646275113,1721.669979095459,0.06829870087759836,logic,1721.669979095459
jabref\src\test\java\org\jabref\logic\importer\fileformat\CffImporterTest.java,0.477668707711356,1816.5768241882324,0.3494622094290597,logic,1816.5768241882324
jabref\src\main\java\org\jabref\gui\theme\StyleSheetResource.java,2257.581443786621,0.05265496117728097,0.028577334540230887,gui,2257.581443786621
jabref\src\main\java\org\jabref\gui\libraryproperties\constants\ConstantsPropertiesView.java,2357.9076385498047,0.14956061499459403,0.05714733260018485,gui,2357.9076385498047
jabref\src\test\java\org\jabref\logic\net\ProxyTest.java,0.08767345973423549,1944.8140716552734,0.07312088693891253,logic,1944.8140716552734
jabref\src\test\java\org\jabref\logic\cleanup\FieldFormatterCleanupTest.java,0.6377312796456474,1723.5596084594727,0.13616165433611188,logic,1723.5596084594727
jabref\src\main\java\org\jabref\logic\exporter\ModsExporter.java,0.14632560185023716,1836.9807624816895,1.0425469534737724,logic,1836.9807624816895
jabref\src\main\java\org\jabref\logic\shared\OracleProcessor.java,0.37526659284319197,1762.3634338378906,0.23347467694963728,logic,1762.3634338378906
jabref\src\main\java\org\jabref\model\util\ListUtil.java,0.06886453628540039,0.1740488052368164,3220.879592895508,model,3220.879592895508
jabref\src\main\java\org\jabref\model\groups\TexGroup.java,0.3353374481201172,0.3030482428414481,2762.4130249023438,model,2762.4130249023438
jabref\src\test\java\org\jabref\logic\importer\fetcher\isbntobibtex\EbookDeIsbnFetcherTest.java,0.05728754316057478,1801.5118598937988,0.10704137938363212,logic,1801.5118598937988
jabref\src\main\java\org\jabref\gui\libraryproperties\PropertiesTabViewModel.java,2289.047317504883,0.0533888612474714,35.007455945014954,gui,2289.047317504883
jabref\src\test\java\org\jabref\logic\util\strings\StringLengthComparatorTest.java,0.05489569050925119,1891.5579795837402,0.08504576001848493,logic,1891.5579795837402
