file_path,model,preferences,best_module,best_likelihood
jabref\src\test\java\org\jabref\logic\importer\fileformat\SilverPlatterImporterTest.java,2.5224664211273193,0.0,model,2.5224664211273193
jabref\buildSrc\src\copied\java\org\jabref\logic\journals\JournalAbbreviationRepository.java,2.761460542678833,0.28082817792892456,model,2.761460542678833
jabref\src\main\java\org\jabref\gui\util\UiThreadList.java,1.0001933574676514,0.0,model,1.0001933574676514
jabref\src\main\java\org\jabref\logic\msbib\BibTeXConverter.java,2.3904545307159424,0.0,model,2.3904545307159424
jabref\src\test\java\org\jabref\logic\importer\fileformat\CffImporterTest.java,12.23117733001709,2.279055118560791,model,12.23117733001709
jabref\src\main\java\org\jabref\gui\theme\StyleSheetResource.java,1.000206708908081,0.0,model,1.000206708908081
jabref\src\main\java\org\jabref\gui\libraryproperties\constants\ConstantsPropertiesView.java,2.0001566410064697,35.0,preferences,35.0
jabref\src\test\java\org\jabref\logic\cleanup\FieldFormatterCleanupTest.java,4.765657901763916,0.0,model,4.765657901763916
jabref\src\test\java\org\jabref\logic\net\ProxyTest.java,2.5592310428619385,1.0,model,2.5592310428619385
jabref\src\main\java\org\jabref\logic\exporter\ModsExporter.java,36.48914337158203,2.046280860900879,model,36.48914337158203
jabref\src\main\java\org\jabref\logic\shared\OracleProcessor.java,8.171613693237305,23.34360122680664,preferences,23.34360122680664
jabref\src\main\java\org\jabref\model\util\ListUtil.java,92.02513122558594,0.0,model,92.02513122558594
jabref\src\main\java\org\jabref\model\groups\TexGroup.java,78.92608642578125,6.708322048187256,model,78.92608642578125
jabref\src\test\java\org\jabref\logic\importer\fetcher\isbntobibtex\EbookDeIsbnFetcherTest.java,3.746448278427124,0.0,model,3.746448278427124
jabref\src\main\java\org\jabref\gui\libraryproperties\PropertiesTabViewModel.java,1.0002130270004272,0.0,model,1.0002130270004272
jabref\src\test\java\org\jabref\logic\util\strings\StringLengthComparatorTest.java,2.9766016006469727,0.0,model,2.9766016006469727
jabref\src\main\java\org\jabref\logic\citationstyle\JabRefItemDataProvider.java,5.592150688171387,0.28082817792892456,model,5.592150688171387
jabref\src\main\java\org\jabref\gui\externalfiles\UnlinkedFilesDialogView.java,1.2478562593460083,35.0,preferences,35.0
jabref\src\main\java\org\jabref\logic\bibtex\comparator\BibtexStringComparator.java,2.539350986480713,0.0,model,2.539350986480713
jabref\src\main\java\org\jabref\gui\entryeditor\DeprecatedFieldsTab.java,43.32107162475586,96.18382263183594,preferences,96.18382263183594
jabref\src\test\java\org\jabref\logic\importer\fetcher\SemanticScholarTest.java,37.90789794921875,0.0,model,37.90789794921875
jabref\src\main\java\org\jabref\logic\importer\fetcher\CiteSeer.java,2.485955238342285,0.0,model,2.485955238342285
jabref\src\main\java\org\jabref\architecture\AllowedToUseAwt.java,1.0002145767211914,0.0,model,1.0002145767211914
jabref\src\main\java\org\jabref\logic\layout\format\HTMLChars.java,2.4056386947631836,0.6987998485565186,model,2.4056386947631836
jabref\src\test\java\org\jabref\model\openoffice\CitationEntryTest.java,82.99491119384766,0.0,model,82.99491119384766
jabref\src\main\java\org\jabref\model\database\KeyChangeListener.java,87.01922607421875,0.37214648723602295,model,87.01922607421875
jabref\src\test\java\org\jabref\model\groups\AutomaticPersonsGroupTest.java,102.01036834716797,0.0,model,102.01036834716797
jabref\src\main\java\org\jabref\gui\fieldeditors\AbstractEditorViewModel.java,1.0001815557479858,0.0,model,1.0001815557479858
jabref\src\test\java\org\jabref\logic\layout\LayoutHelperTest.java,2.5358872413635254,0.0,model,2.5358872413635254
jabref\src\main\java\org\jabref\logic\importer\SearchBasedFetcher.java,2.5630040168762207,0.0,model,2.5630040168762207
jabref\src\main\java\org\jabref\preferences\GeneralPreferences.java,1.0001792907714844,91.56769561767578,preferences,91.56769561767578
jabref\src\test\java\org\jabref\logic\importer\fetcher\IEEETest.java,3.778747320175171,1.0107753276824951,model,3.778747320175171
jabref\src\main\java\org\jabref\gui\maintable\SmartConstrainedResizePolicy.java,2.76521635055542,0.0,model,2.76521635055542
jabref\src\main\java\org\jabref\gui\mergeentries\newmergedialog\cell\sidebuttons\InfoButton.java,1.000198483467102,0.0,model,1.000198483467102
jabref\src\test\java\org\jabref\logic\citationkeypattern\AbstractCitationKeyPatternTest.java,2.5358872413635254,0.0,model,2.5358872413635254
jabref\src\main\java\org\jabref\gui\fieldeditors\ContextMenuAddable.java,1.00021231174469,0.0,model,1.00021231174469
jabref\src\main\java\org\jabref\logic\layout\format\NoSpaceBetweenAbbreviations.java,2.588826894760132,0.0,model,2.588826894760132
jabref\src\main\java\org\jabref\logic\formatter\bibtexfields\CleanupUrlFormatter.java,2.522554874420166,0.0,model,2.522554874420166
jabref\src\main\java\org\jabref\gui\mergeentries\newmergedialog\fieldsmerger\FieldMergerFactory.java,1.000195860862732,0.0,model,1.000195860862732
jabref\src\main\java\org\jabref\logic\util\MetadataSerializationConfiguration.java,2.581644296646118,0.0,model,2.581644296646118
jabref\src\main\java\org\jabref\gui\mergeentries\MergeResult.java,1.0002115964889526,0.0,model,1.0002115964889526
jabref\src\main\java\org\jabref\gui\entryeditor\OptionalFields2Tab.java,2.000199794769287,97.3365249633789,preferences,97.3365249633789
jabref\src\test\java\org\jabref\logic\formatter\IdentityFormatterTest.java,2.588839292526245,0.0,model,2.588839292526245
jabref\src\test\java\org\jabref\logic\formatter\casechanger\TitleCaseFormatterTest.java,3.5816378593444824,0.947667121887207,model,3.5816378593444824
jabref\src\main\java\org\jabref\gui\fieldeditors\identifier\EprintIdentifierEditorViewModel.java,1.0001933574676514,95.30888366699219,preferences,95.30888366699219
jabref\src\test\java\org\jabref\model\entry\identifier\MathSciNetIdTest.java,93.00311279296875,0.0,model,93.00311279296875
jabref\src\main\java\org\jabref\gui\autocompleter\AppendPersonNamesStrategy.java,1.0002100467681885,0.0,model,1.0002100467681885
jabref\src\test\java\org\jabref\logic\formatter\bibtexfields\ReplaceTabsBySpaceFormaterTest.java,2.5687599182128906,0.0,model,2.5687599182128906
jabref\src\main\java\org\jabref\gui\importer\ImportCommand.java,1.7033259868621826,105.57283782958984,preferences,105.57283782958984
jabref\src\test\java\org\jabref\logic\exporter\MetaDataSerializerTest.java,2.480360507965088,0.0,model,2.480360507965088
jabref\src\test\java\org\jabref\logic\importer\fileformat\RepecNepImporterTest.java,2.503549814224243,0.0,model,2.503549814224243
jabref\src\main\java\org\jabref\gui\slr\StartNewStudyAction.java,1.518532633781433,35.51591491699219,preferences,35.51591491699219
jabref\src\main\java\org\jabref\model\openoffice\uno\UnoTextSection.java,87.69505310058594,0.0,model,87.69505310058594
jabref\src\test\java\org\jabref\logic\importer\fileformat\RISImporterFilesTest.java,2.5630040168762207,0.0,model,2.5630040168762207
jabref\src\main\java\org\jabref\logic\importer\util\ShortDOIServiceException.java,2.5726633071899414,0.0,model,2.5726633071899414
jabref\src\test\java\org\jabref\logic\importer\fetcher\MedlineFetcherTest.java,5.987279891967773,0.5876948833465576,model,5.987279891967773
jabref\src\test\java\org\jabref\gui\util\comparator\SpecialFieldComparatorTest.java,1.0001920461654663,0.0,model,1.0001920461654663
jabref\src\main\java\org\jabref\gui\theme\StyleSheet.java,3.5832693576812744,1.3215715885162354,model,3.5832693576812744
jabref\src\main\java\org\jabref\gui\collab\entryadd\EntryAdd.java,2.0001983642578125,0.0,model,2.0001983642578125
