file_path,UI,Logic,Storage,E2E,Client,best_module,best_likelihood
src/lnp/java/teammates/lnp/cases/StudentSectionUpdateLNPTest.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/lnp/java/teammates/lnp/cases/StudentEmailUpdateLNPTest.java,0.00,0.00,0.00,95.00,5.00,E2E,95.00
src/lnp/java/teammates/lnp/cases/FeedbackQuestionUpdateLNPTest.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/lnp/java/teammates/lnp/cases/StudentTeamUpdateLNPTest.java,0.00,0.00,0.00,95.00,5.00,E2E,95.00
src/lnp/java/teammates/lnp/cases/InstructorStudentEnrollmentLNPTest.java,0.00,0.00,0.00,95.00,5.00,E2E,95.00
src/lnp/java/teammates/lnp/cases/InstructorCourseUpdateLNPTest.java,0.00,0.00,0.00,95.00,5.00,E2E,95.00
src/lnp/java/teammates/lnp/cases/BaseLNPTestCase.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/lnp/java/teammates/lnp/cases/FeedbackSessionViewLNPTest.java,0.00,0.00,0.00,90.00,10.00,E2E,90.00
src/lnp/java/teammates/lnp/cases/FeedbackSessionSubmitLNPTest.java,0.00,5.00,0.00,95.00,0.00,E2E,95.00
src/lnp/java/teammates/lnp/cases/InstructorUpdateLNPTest.java,0.00,5.00,5.00,85.00,5.00,E2E,85.00
src/lnp/java/teammates/lnp/cases/InstructorSessionResultLNPTest.java,10.00,5.00,0.00,85.00,0.00,E2E,85.00
src/lnp/java/teammates/lnp/cases/package-info.java,0.00,0.00,0.00,95.00,5.00,E2E,95.00
src/lnp/java/teammates/lnp/cases/InstructorStudentCascadingUpdateLNPTest.java,0.00,5.00,5.00,90.00,0.00,E2E,90.00
src/lnp/java/teammates/lnp/util/TestProperties.java,0.00,0.00,0.00,95.00,5.00,E2E,95.00
src/lnp/java/teammates/lnp/util/BackDoor.java,0.00,5.00,0.00,90.00,5.00,E2E,90.00
src/lnp/java/teammates/lnp/util/LNPTestData.java,0.00,0.00,0.00,95.00,5.00,E2E,95.00
src/lnp/java/teammates/lnp/util/JMeterElements.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/lnp/java/teammates/lnp/util/LNPSpecification.java,0.00,5.00,0.00,90.00,5.00,E2E,90.00
src/lnp/java/teammates/lnp/util/LNPResultsStatistics.java,0.00,10.00,0.00,85.00,5.00,E2E,85.00
src/lnp/java/teammates/lnp/util/package-info.java,0.00,0.00,0.00,95.00,5.00,E2E,95.00
src/e2e/java/teammates/e2e/pageobjects/InstructorCourseStudentDetailsEditPage.java,10.00,5.00,0.00,85.00,0.00,E2E,85.00
src/e2e/java/teammates/e2e/pageobjects/InstructorCourseEnrollPage.java,10.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/InstructorFeedbackSessionsPage.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/InstructorCourseEditPage.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/AdminTimezonePage.java,10.00,5.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/ErrorReportingModal.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/CourseJoinConfirmationPage.java,20.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/InstructorSearchPage.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/Browser.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/InstructorSessionIndividualExtensionPage.java,10.00,5.00,0.00,95.00,0.00,E2E,95.00
src/e2e/java/teammates/e2e/pageobjects/StudentHomePage.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/InstructorStudentListPage.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/InstructorFeedbackResultsPage.java,10.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/AdminNotificationsPage.java,5.00,5.00,0.00,85.00,5.00,E2E,85.00
src/e2e/java/teammates/e2e/pageobjects/InstructorCourseStudentDetailsViewPage.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/InstructorFeedbackEditPage.java,20.00,5.00,0.00,95.00,0.00,E2E,95.00
src/e2e/java/teammates/e2e/pageobjects/DevServerLoginPage.java,0.00,0.00,0.00,100.00,0.00,E2E,100.00
src/e2e/java/teammates/e2e/pageobjects/AdminSessionsPage.java,5.00,0.00,0.00,95.00,0.00,E2E,95.00
