file_path,data,model,strategy,backtest,rl,run,tests,utils,contrib,best_module,best_likelihood
backtest\backtest.py,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,backtest,100.00
backtest\signal.py,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,model,70.00
backtest\decision.py,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,strategy,85.00
backtest\exchange.py,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,backtest,85.00
backtest\executor.py,0.00,0.00,5.00,85.00,0.00,0.00,0.00,10.00,0.00,backtest,85.00
backtest\utils.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,utils,85.00
backtest\profit_attribution.py,10.00,5.00,70.00,10.00,0.00,0.00,0.00,0.00,5.00,strategy,70.00
backtest\report.py,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,backtest,90.00
backtest\account.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,contrib,90.00
backtest\__init__.py,5.00,5.00,30.00,50.00,0.00,0.00,0.00,5.00,5.00,backtest,50.00
backtest\high_performance_ds.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
backtest\position.py,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,40.00
contrib\data\utils\sepdf.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,data,85.00
contrib\data\utils\__init__.py,5.00,5.00,5.00,5.00,5.00,15.00,15.00,5.00,5.00,None,15.00
contrib\data\data.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
contrib\data\processor.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
contrib\data\handler.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.00,data,95.00
contrib\data\dataset.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
contrib\data\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\data\loader.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,data,95.00
contrib\data\highfreq_processor.py,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,data,85.00
contrib\data\highfreq_provider.py,30.00,0.00,10.00,20.00,0.00,0.00,0.00,0.00,40.00,None,40.00
contrib\data\highfreq_handler.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,90.00
contrib\eva\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\eva\alpha.py,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,90.00,contrib,90.00
contrib\meta\data_selection\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,contrib,70.00
