file_path,dsp,feature,filter_bank,mir,best_module,best_likelihood
include\dsp\czt_algorithm.h,90.00,5.00,3.00,2.00,dsp,90.00
include\dsp\resample_algorithm.h,90.00,5.00,3.00,2.00,dsp,90.00
include\dsp\xcorr_algorithm.h,85.00,10.00,3.00,2.00,dsp,85.00
include\feature\deconv_algorithm.h,10.00,85.00,3.00,2.00,feature,85.00
include\feature\chroma_algorithm.h,4.00,65.00,1.00,30.00,feature,65.00
include\feature\spectral_algorithm.h,0.00,95.00,0.00,0.00,feature,95.00
include\feature\xxcc_algorithm.h,10.00,85.00,2.00,3.00,feature,85.00
include\filterbank\auditory_weight.h,20.00,10.00,65.00,5.00,filter_bank,65.00
include\mir\_pitch_yin.h,10.00,20.00,5.00,65.00,mir,65.00
include\mir\harmonicRatio_algorithm.h,10.00,20.00,5.00,65.00,mir,65.00
include\mir\onset_algorithm.h,10.00,20.00,10.00,60.00,mir,60.00
include\mir\hpss_algorithm.h,30.00,5.00,5.00,60.00,mir,60.00
include\util\flux_wave.h,5.00,5.00,5.00,5.00,None,5.00
include\util\flux_util.h,40.00,25.00,5.00,30.00,None,40.00
include\cwd_algorithm.h,85.00,10.00,3.00,2.00,dsp,85.00
include\fst_algorithm.h,85.00,10.00,3.00,2.00,dsp,85.00
include\reassign_algorithm.h,85.00,10.00,3.00,2.00,dsp,85.00
include\cwt_algorithm.h,85.00,10.00,3.00,2.00,dsp,85.00
include\cqt_algorithm.h,70.00,30.00,0.00,0.00,dsp,70.00
include\ewt_algorithm.h,80.00,0.00,0.00,0.00,dsp,80.00
include\dwt_algorithm.h,90.00,0.00,0.00,0.00,dsp,90.00
include\pwt_algorithm.h,80.00,10.00,5.00,5.00,dsp,80.00
include\emd_algorithm.h,80.00,10.00,5.00,5.00,dsp,80.00
include\nsgt_algorithm.h,70.00,0.00,0.00,0.00,dsp,70.00
include\hht_algorithm.h,70.00,5.00,1.00,24.00,dsp,70.00
include\flux_base.h,40.00,20.00,40.00,0.00,None,40.00
include\st_algorithm.h,90.00,5.00,3.00,2.00,dsp,90.00
include\spectrogram_algorithm.h,0.00,85.00,0.00,0.00,feature,85.00
include\swt_algorithm.h,90.00,5.00,3.00,2.00,dsp,90.00
include\wpt_algorithm.h,80.00,10.00,5.00,5.00,dsp,80.00
include\synsq_algorithm.h,80.00,5.00,10.00,5.00,dsp,80.00
include\wsst_algorithm.h,85.00,10.00,3.00,2.00,dsp,85.00
include\temporal_algorithm.h,30.00,50.00,5.00,15.00,feature,50.00
include\wvd_algorithm.h,85.00,5.00,5.00,5.00,dsp,85.00
src\dsp\dct_algorithm.c,90.00,0.00,0.00,0.00,dsp,90.00
src\dsp\dft_algorithm.c,95.00,0.00,0.00,0.00,dsp,95.00
src\dsp\fft_algorithm.c,0.00,0.00,0.00,0.00,None,0.00
src\dsp\czt_algorithm.h,95.00,5.00,0.00,0.00,dsp,95.00
src\dsp\filterDesign_fir.h,85.00,5.00,7.00,3.00,dsp,85.00
src\dsp\dft_algorithm.h,90.00,5.00,3.00,2.00,dsp,90.00
src\dsp\conv_algorithm.c,90.00,5.00,3.00,2.00,dsp,90.00
src\dsp\filterDesign_fir.c,90.00,5.00,3.00,2.00,dsp,90.00
src\dsp\dct_algorithm.h,90.00,5.00,3.00,2.00,dsp,90.00
src\dsp\czt_algorithm.c,90.00,0.00,0.00,0.00,dsp,90.00
src\dsp\fft_algorithm.h,90.00,5.00,3.00,2.00,dsp,90.00
src\dsp\conv_algorithm.h,70.00,5.00,5.00,20.00,dsp,70.00
src\dsp\filterDesign_freqz.c,95.00,0.00,0.00,0.00,dsp,95.00
src\dsp\filterDesign_iir.c,25.00,25.00,25.00,25.00,None,25.00
src\dsp\filterDesign_iir.h,85.00,2.00,10.00,3.00,dsp,85.00
src\dsp\filterDesign_freqz.h,90.00,5.00,4.00,1.00,dsp,90.00
src\dsp\flux_correct.c,85.00,0.00,0.00,0.00,dsp,85.00
src\dsp\flux_window.c,90.00,0.00,0.00,0.00,dsp,90.00
src\dsp\resample_algorithm.c,95.00,2.00,2.00,1.00,dsp,95.00
src\dsp\flux_correct.h,60.00,5.00,30.00,5.00,dsp,60.00
src\dsp\hilbert_algorithm.c,90.00,5.00,3.00,2.00,dsp,90.00
src\dsp\resample_algorithm.h,90.00,5.00,3.00,2.00,dsp,90.00
src\dsp\flux_window.h,90.00,5.00,3.00,2.00,dsp,90.00
src\dsp\hilbert_algorithm.h,90.00,5.00,3.00,2.00,dsp,90.00
src\dsp\xcorr_algorithm.h,85.00,10.00,3.00,2.00,dsp,85.00
src\dsp\xcorr_algorithm.c,80.00,10.00,5.00,5.00,dsp,80.00
src\feature\spectral_algorithm.h,10.00,85.00,3.00,2.00,feature,85.00
src\feature\deconv_algorithm.c,30.00,60.00,5.00,5.00,feature,60.00
src\feature\xxcc_algorithm.c,20.00,70.00,5.00,5.00,feature,70.00
src\feature\xxcc_algorithm.h,0.00,90.00,0.00,0.00,feature,90.00
src\feature\spectral_algorithm.c,10.00,80.00,5.00,5.00,feature,80.00
src\feature\deconv_algorithm.h,40.00,55.00,3.00,2.00,feature,55.00
src\filterbank\coef\__coef_r.h,80.00,4.00,15.00,1.00,dsp,80.00
src\filterbank\coef\__coef_d.h,85.00,5.00,7.00,3.00,dsp,85.00
src\filterbank\cqt_filterBank.c,0.00,0.00,85.00,0.00,filter_bank,85.00
src\filterbank\auditory_weight.c,0.00,0.00,90.00,0.00,filter_bank,90.00
src\filterbank\dwt_filterCoef.c,90.00,5.00,4.00,1.00,dsp,90.00
src\filterbank\chroma_filterBank.h,0.00,0.00,90.00,0.00,filter_bank,90.00
src\filterbank\cwt_filterBank.c,20.00,5.00,70.00,5.00,filter_bank,70.00
