file_path,IMBS,KDE,LBP_MRF,LBSP,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,dp,general,lb,main,best_module,best_likelihood
bgslibrary\bgslibrary\algorithms\IndependentMultimodal.cpp,90.61016082763672,11.079456329345703,10.98228645324707,6.448085308074951,7.093133926391602,14.273266792297363,7.093133926391602,4.048205852508545,5.289006233215332,3.0783605575561523,5.191638469696045,7.633481502532959,7.322844982147217,13.519571304321289,IMBS,90.61016082763672
bgslibrary\bgslibrary\algorithms\T2F\T2FMRF.cpp,10.016898155212402,15.325448036193848,52.31200408935547,6.586454391479492,9.648503303527832,27.188899993896484,6.596989631652832,229.91526794433594,5.1079020500183105,14.130341529846191,125.39881896972656,7.328171730041504,72.00421905517578,14.035665512084961,T2F,229.91526794433594
bgslibrary\bgslibrary\algorithms\lb\BGModelSom.h,1.148134469985962,7.238824367523193,28.35344886779785,2.3147857189178467,1.148134469985962,7.319599151611328,1.148134469985962,18.824432373046875,3.3650474548339844,1.148134469985962,1.3650909662246704,3.607558012008667,100.17509460449219,3.7248613834381104,lb,100.17509460449219
bgslibrary\bgslibrary\algorithms\LBAdaptiveSOM.cpp,18.604238510131836,10.675431251525879,26.486114501953125,6.283761024475098,6.913179874420166,12.889508247375488,6.913179874420166,3.931023120880127,5.209283351898193,16.18781089782715,5.06326150894165,7.464498043060303,86.92945861816406,15.098386764526367,lb,86.92945861816406
bgslibrary\bgslibrary\algorithms\TwoPoints.cpp,18.31635856628418,6.034659385681152,12.460958480834961,6.743196487426758,5.546541690826416,18.014415740966797,2.457749366760254,3.2765393257141113,147.0446319580078,2.457749366760254,6.175544261932373,5.052946090698242,5.938782215118408,15.169576644897461,TwoPoints,147.0446319580078
bgslibrary\gui\mfc\src\targetver.h,0.0,0.0,11.550827026367188,0.0,0.0,0.0,0.0,0.3208562731742859,0.0,0.0,0.0,0.0,1.1437031030654907,0.0,LBP_MRF,11.550827026367188
bgslibrary\bgslibrary\algorithms\MultiLayer\BlobLibraryConfiguration.h,1.1387394666671753,0.0,0.0,2.294821262359619,100.27021789550781,0.0,1.1387394666671753,0.0,3.3379383087158203,1.1387394666671753,1.1387394666671753,3.433560848236084,1.1560819149017334,3.433560848236084,MultiLayer,100.27021789550781
bgslibrary\bgslibrary\algorithms\LBSP\LBSP_.cpp,6.643896102905273,13.489097595214844,50.27172088623047,106.66592407226562,1.0696909427642822,1.5553935766220093,1.4186525344848633,24.78026580810547,3.5187132358551025,18.958192825317383,2.2891600131988525,3.508885622024536,40.725894927978516,13.321866035461426,LBSP,106.66592407226562
bgslibrary\bgslibrary\tools\PerformanceUtils.h,0.34868302941322327,0.0,0.0,1.0,0.0,1.3486829996109009,0.34868302941322327,0.0,1.413002371788025,1.3486829996109009,0.0,1.0,1.0460491180419922,0.0,TwoPoints,1.413002371788025
bgslibrary\bgslibrary\algorithms\MultiLayer\OpenCvDataConversion.h,9.544472694396973,11.774740219116211,14.215051651000977,2.722989559173584,88.39837646484375,0.0,1.1131118535995483,0.394862562417984,5.916579246520996,1.1131118535995483,1.315879225730896,3.7252886295318604,5.06378698348999,10.93295955657959,MultiLayer,88.39837646484375
bgslibrary\bgslibrary\algorithms\DPPratiMediod.h,17.69927406311035,0.33215636014938354,6.953647613525391,2.6122636795043945,1.1497712135314941,21.574270248413086,1.1497712135314941,0.18393030762672424,3.368859052658081,1.1497712135314941,89.32421875,3.651965379714966,1.5363532304763794,13.259223937988281,dp,89.32421875
bgslibrary\bgslibrary\algorithms\dp\BgsParams.h,1.1522952318191528,0.0,0.0,2.323627471923828,1.1522952318191528,0.0,1.1522952318191528,0.0,3.374730110168457,17.656219482421875,83.71328735351562,3.4759225845336914,1.1713321208953857,3.4759225845336914,dp,83.71328735351562
