file_path,data,model,strategy,backtest,rl,run,tests,utils,contrib,best_module,best_likelihood
backtest\backtest.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,backtest,95.00
backtest\position.py,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,backtest,98.00
backtest\profit_attribution.py,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,contrib,95.00
backtest\exchange.py,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,backtest,98.00
backtest\account.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
backtest\utils.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
backtest\executor.py,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,backtest,98.00
backtest\report.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,backtest,95.00
backtest\__init__.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,backtest,95.00
backtest\decision.py,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,backtest,95.00
backtest\signal.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,contrib,95.00
backtest\high_performance_ds.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,utils,95.00
contrib\data\utils\__init__.py,0.00,0.00,0.00,0.00,0.00,10.00,85.00,0.00,5.00,tests,85.00
contrib\data\utils\sepdf.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
contrib\data\loader.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,98.00
contrib\data\processor.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
contrib\data\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00,0.00,None,30.00
contrib\data\data.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
contrib\data\handler.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\data\highfreq_processor.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
contrib\data\highfreq_handler.py,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,98.00
contrib\data\dataset.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,data,95.00
contrib\data\highfreq_provider.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,data,95.00
contrib\eva\alpha.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,contrib,95.00
contrib\eva\__init__.py,2.00,2.00,2.00,2.00,2.00,3.00,60.00,5.00,22.00,tests,60.00
