file_path,dns,general,http_general,httpserver,pools,sampling,services,ssl,best_module,best_likelihood
proxygen\proxygen\lib\http\coro\test\HttpWtUpstreamTests.cpp,1.0003584623336792,6.918472766876221,48.533390045166016,5.808254241943359,2.2613415718078613,3.1366467010229826E-4,4.801637172698975,50.8006591796875,ssl,50.8006591796875
proxygen\proxygen\lib\http\codec\test\CodecUtilTests.cpp,19.22281837463379,3.006363868713379,47.23560333251953,4.1104655265808105,1.3141824007034302,3.757577214855701E-4,2.7137200832366943,17.562713623046875,http_general,47.23560333251953
proxygen\proxygen\lib\http\structuredheaders\StructuredFields.h,12.978541374206543,3.29217267036438,45.33052444458008,3.751429796218872,7.205262184143066,3.9137923158705235E-4,1.8933484554290771,12.786484718322754,http_general,45.33052444458008
proxygen\proxygen\httpserver\samples\hq\HQClient.cpp,27.596006393432617,8.767660140991211,47.34021759033203,70.82650756835938,5.19482421875,1.5463553667068481,10.443126678466797,12.03179931640625,httpserver,70.82650756835938
proxygen\proxygen\lib\http\HTTPMethod.h,1.0005245208740234,1.243212103843689,47.589210510253906,3.801790952682495,1.3158255815505981,4.5895521179772913E-4,1.35555899143219,1.2344262599945068,http_general,47.589210510253906
proxygen\proxygen\httpclient\samples\curl\CurlClient.h,1.000573992729187,1.3998782634735107,44.342350006103516,4.2803730964660645,3.7477290630340576,5.022097029723227E-4,1.0348213911056519,47.898338317871094,ssl,47.898338317871094
proxygen\proxygen\lib\http\coro\HTTPEvents.h,1.0004770755767822,3.6188695430755615,46.64141082763672,3.306384325027466,1.0,4.1738900472410023E-4,2.3835015296936035,1.1147375106811523,http_general,46.64141082763672
proxygen\proxygen\lib\http\observer\HTTPTransactionObserverContainer.h,1.0005223751068115,1.2407995462417603,47.49398422241211,3.799783706665039,2.3186416625976562,4.5709818368777633E-4,1.3464399576187134,0.18025681376457214,http_general,47.49398422241211
proxygen\proxygen\lib\pools\generators\ServerListGenerator.h,2.342163562774658,0.9256776571273804,0.3129558563232422,5.952118873596191,130.0387725830078,4.236703971400857E-4,1.674051284790039,0.0,pools,130.0387725830078
proxygen\proxygen\lib\http\coro\filters\VisitorFilter.h,1.0005197525024414,2.1015496253967285,47.89579391479492,3.475245714187622,1.908003568649292,4.547979333437979E-4,1.6936061382293701,1.1780465841293335,http_general,47.89579391479492
proxygen\proxygen\httpclient\samples\curl\CurlClient.cpp,1.0004945993423462,2.993685245513916,57.64324188232422,5.206621170043945,5.7302422523498535,4.3273772462271154E-4,2.111485004425049,77.72205352783203,ssl,77.72205352783203
