file_path,Facade,MediaManagement,UserManagement,UserDBAdapter,Packaging,ReEncoder,Database,MediaAccess,FileStorage,best_module,best_likelihood
Implementation/mediastore.ejb.tagwatermarking/src/edu/kit/ipd/sdq/mediastore/ejb/tagwatermarking/TagWatermarkingImpl.java,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MediaManagement,30.00
Implementation/mediastore.ejb.packaging/src/edu/kit/ipd/sdq/mediastore/ejb/packaging/PackagingImpl.java,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Packaging,100.00
Implementation/mediastore.ejb.mediamanagement/src/edu/kit/ipd/sdq/mediastore/ejb/mediamanagement/MediaManagementImpl.java,10.00,95.00,0.00,0.00,15.00,0.00,0.00,20.00,5.00,MediaManagement,95.00
Implementation/mediastore.ejb.reencoder/src/edu/kit/ipd/sdq/mediastore/ejb/reencoder/ReEncoderImpl.java,0.00,15.00,0.00,0.00,10.00,95.00,0.00,0.00,20.00,ReEncoder,95.00
Implementation/mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/Audio.java,0.00,0.00,10.00,5.00,0.00,0.00,30.00,95.00,0.00,MediaAccess,95.00
Implementation/mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/MediaAccessImpl.java,10.00,20.00,0.00,5.00,15.00,0.00,10.00,95.00,40.00,MediaAccess,95.00
Implementation/mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/DbManager.java,10.00,20.00,0.00,0.00,0.00,0.00,30.00,95.00,5.00,MediaAccess,95.00
Implementation/mediastore.ejb.cache/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/cache/CacheSingleton.java,0.00,40.00,0.00,0.00,0.00,0.00,0.00,70.00,90.00,FileStorage,90.00
Implementation/mediastore.ejb.cache/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/cache/IdAndBitrate.java,0.00,10.00,0.00,0.00,0.00,40.00,5.00,5.00,10.00,ReEncoder,40.00
Implementation/mediastore.ejb.cache/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/cache/CacheImpl.java,5.00,25.00,0.00,0.00,5.00,0.00,10.00,35.00,20.00,MediaAccess,35.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/filters/MainFilter.java,90.00,5.00,10.00,0.00,0.00,0.00,0.00,5.00,0.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/SessionBean.java,80.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,80.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/UploadBean.java,80.00,20.00,5.00,0.00,0.00,0.00,0.00,30.00,15.00,Facade,80.00
