file_path,dns,pools,ssl,general,http_general,services,httpserver,transport,best_module,best_likelihood
proxygen\httpserver\filters\RejectConnectFilter.h,0.00,0.00,0.00,0.00,1.00,2.00,97.00,0.00,httpserver,97.00
proxygen\httpserver\filters\DirectResponseHandler.h,0.00,0.00,0.00,0.00,5.00,2.00,98.00,0.00,httpserver,98.00
proxygen\httpserver\filters\CompressionFilter.h,0.00,0.00,0.00,5.00,10.00,5.00,80.00,0.00,httpserver,80.00
proxygen\httpserver\samples\echo\EchoStats.h,0.00,0.00,0.00,5.00,0.00,85.00,10.00,0.00,services,85.00
proxygen\httpserver\samples\echo\EchoServer.cpp,0.00,0.00,0.00,5.00,5.00,10.00,98.00,2.00,httpserver,98.00
proxygen\httpserver\samples\echo\EchoHandler.h,0.00,0.00,0.00,5.00,10.00,15.00,95.00,0.00,httpserver,95.00
proxygen\httpserver\samples\echo\EchoHandler.cpp,0.00,0.00,0.00,3.00,2.00,5.00,90.00,0.00,httpserver,90.00
proxygen\httpserver\samples\hq\H1QUpstreamSession.h,0.00,0.00,0.00,5.00,75.00,5.00,0.00,15.00,http_general,75.00
proxygen\httpserver\samples\hq\FizzContext.h,0.00,0.00,90.00,5.00,10.00,5.00,10.00,20.00,ssl,90.00
proxygen\httpserver\samples\hq\HQLoggerHelper.cpp,0.00,0.00,0.00,0.00,5.00,0.00,90.00,5.00,httpserver,90.00
proxygen\httpserver\samples\hq\ConnIdLogger.h,0.00,0.00,0.00,95.00,0.00,3.00,2.00,0.00,general,95.00
proxygen\httpserver\samples\hq\H2Server.h,0.00,0.00,0.00,5.00,10.00,5.00,95.00,0.00,httpserver,95.00
proxygen\httpserver\samples\hq\H1QDownstreamSession.h,0.00,0.00,0.00,5.00,10.00,5.00,10.00,70.00,transport,70.00
proxygen\httpserver\samples\hq\HQClient.cpp,0.00,0.00,5.00,5.00,30.00,0.00,70.00,20.00,httpserver,70.00
proxygen\httpserver\samples\hq\HQClient.h,0.00,0.00,0.00,5.00,50.00,0.00,0.00,45.00,http_general,50.00
proxygen\httpserver\samples\hq\H2Server.cpp,0.00,0.00,5.00,0.00,10.00,5.00,85.00,10.00,httpserver,85.00
proxygen\httpserver\samples\hq\HQCommandLine.h,0.00,0.00,5.00,0.00,5.00,5.00,40.00,45.00,None,45.00
proxygen\httpserver\samples\hq\FizzContext.cpp,0.00,0.00,40.00,0.00,0.00,0.00,30.00,30.00,None,40.00
