file_path,WebUI,Auth,Persistence,Recommender,ImageProvider,best_module,best_likelihood
services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/rest/RegistryStartup.java,20.00,5.00,5.00,5.00,5.00,WebUI,20.00
services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/rest/HeartbeatInfo.java,0.00,0.00,0.00,0.00,0.00,WebUI,0.00
services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/rest/RegistryREST.java,5.00,0.00,5.00,0.00,0.00,WebUI,5.00
services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/rest/Registry.java,0.00,0.00,0.00,0.00,0.00,WebUI,0.00
services/tools.descartes.teastore.registry/src/main/java/tools/descartes/teastore/registry/servlet/IndexServlet.java,80.00,5.00,0.00,0.00,5.00,WebUI,80.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/daemons/InitialDataGenerationDaemon.java,30.00,5.00,85.00,0.00,0.00,Persistence,85.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/CategoryEndpoint.java,0.00,0.00,95.00,0.00,0.00,Persistence,95.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/OrderEndpoint.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/ProductEndpoint.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/OrderItemEndpoint.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/DatabaseGenerationEndpoint.java,0.00,0.00,100.00,0.00,0.00,Persistence,100.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/UserEndpoint.java,5.00,20.00,90.00,1.00,0.00,Persistence,90.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/rest/CacheManagerEndpoint.java,5.00,0.00,90.00,0.00,5.00,Persistence,90.00
services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/converters/LocalDateAttributeConverter.java,5.00,0.00,95.00,0.00,0.00,Persistence,95.00
