Precision
Project,10,20,30,40,50,60,70,80,90
audioflux,0.2778,0.2778,0.3043,0.2449,0.1829,0.2000,0.1829,0.2006,0.2160
bgslibrary,0.0870,0.0816,0.1525,0.1493,0.1410,0.1170,0.1214,0.1278,0.1155
distributed_camera,0.0923,0.1176,0.1524,0.1486,0.1429,0.1462,0.1293,0.1155,0.0857
proxygen,0.1034,0.1333,0.1327,0.1046,0.0928,0.0925,0.0714,0.0691,0.0602

Recall
Project,10,20,30,40,50,60,70,80,90
audioflux,0.0388,0.0388,0.0543,0.0930,0.1163,0.2248,0.3643,0.5504,0.9612
bgslibrary,0.0727,0.0727,0.1636,0.1818,0.2000,0.2000,0.3091,0.4182,0.8545
distributed_camera,0.0750,0.1000,0.2000,0.2750,0.3000,0.3875,0.5125,0.6250,0.9875
proxygen,0.1034,0.1379,0.1494,0.1839,0.2069,0.2989,0.3678,0.4713,0.9195

F1
Project,10,20,30,40,50,60,70,80,90
audioflux,0.0680,0.0680,0.0921,0.1348,0.1422,0.2117,0.2435,0.2940,0.3528
bgslibrary,0.0792,0.0769,0.1579,0.1639,0.1654,0.1477,0.1744,0.1957,0.2035
distributed_camera,0.0828,0.1081,0.1730,0.1930,0.1935,0.2123,0.2065,0.1949,0.1577
proxygen,0.1034,0.1356,0.1405,0.1333,0.1281,0.1413,0.1196,0.1206,0.1130
