file_path,cli,client,prompts,resources,tools,utilities,best_module,best_likelihood
fastmcp_slim\fastmcp\cli\__init__.py,95.00,0.00,0.00,0.00,0.00,0.00,cli,95.00
fastmcp_slim\fastmcp\cli\cli.py,95.00,0.00,0.00,0.00,0.00,0.00,cli,95.00
fastmcp_slim\fastmcp\client\client.py,0.00,95.00,0.00,0.00,0.00,5.00,client,95.00
fastmcp_slim\fastmcp\client\__init__.py,0.00,0.00,0.00,0.00,0.00,90.00,utilities,90.00
fastmcp_slim\fastmcp\client\logging.py,0.00,0.00,0.00,0.00,0.00,100.00,utilities,100.00
fastmcp_slim\fastmcp\client\roots.py,0.00,100.00,0.00,0.00,0.00,0.00,client,100.00
fastmcp_slim\fastmcp\prompts\__init__.py,3.00,1.00,85.00,1.00,0.00,10.00,prompts,85.00
fastmcp_slim\fastmcp\resources\types.py,0.00,0.00,0.00,100.00,0.00,0.00,resources,100.00
fastmcp_slim\fastmcp\resources\template.py,0.00,0.00,0.00,100.00,0.00,0.00,resources,100.00
fastmcp_slim\fastmcp\resources\__init__.py,0.00,0.00,0.00,90.00,0.00,10.00,resources,90.00
fastmcp_slim\fastmcp\server\http.py,0.00,0.00,0.00,0.00,0.00,85.00,utilities,85.00
fastmcp_slim\fastmcp\server\__init__.py,5.00,5.00,5.00,5.00,5.00,75.00,utilities,75.00
fastmcp_slim\fastmcp\server\dependencies.py,0.00,0.00,0.00,0.00,0.00,100.00,utilities,100.00
fastmcp_slim\fastmcp\server\context.py,0.00,0.00,0.00,0.00,0.00,70.00,utilities,70.00
fastmcp_slim\fastmcp\server\server.py,0.00,0.00,10.00,10.00,10.00,10.00,None,10.00
fastmcp_slim\fastmcp\tools\__init__.py,0.00,0.00,0.00,0.00,95.00,0.00,tools,95.00
fastmcp_slim\fastmcp\utilities\json_schema.py,0.00,0.00,0.00,0.00,0.00,95.00,utilities,95.00
fastmcp_slim\fastmcp\utilities\__init__.py,0.00,0.00,0.00,0.00,0.00,90.00,utilities,90.00
fastmcp_slim\fastmcp\utilities\logging.py,0.00,0.00,0.00,0.00,0.00,100.00,utilities,100.00
fastmcp_slim\fastmcp\utilities\types.py,0.00,0.00,0.00,0.00,0.00,95.00,utilities,95.00
fastmcp_slim\fastmcp\utilities\tests.py,0.00,75.00,0.00,0.00,5.00,20.00,client,75.00
