file_path,dsp,feature,filter_bank,general,best_module,best_likelihood
audioFlux\src\cepstrogram_algorithm.c,5.694643020629883,6.957241058349609,0.0,8.702383995056152,general,8.702383995056152
audioFlux\src\swt_algorithm.h,3.4650204181671143,2.0,0.0,4.8802642822265625,general,4.8802642822265625
audioFlux\src\mir\timeStretch_algorithm.h,3.4617397785186768,6.016521453857422,0.0,4.874053955078125,feature,6.016521453857422
audioFlux\src\vector\flux_vectorOp.h,17.523357391357422,2.836026191711426,33.1114616394043,5.184291839599609,filter_bank,33.1114616394043
audioFlux\include\ewt_algorithm.h,3.4650204181671143,2.0,0.0,4.8802642822265625,general,4.8802642822265625
audioFlux\src\fst_algorithm.h,20.85311508178711,2.0,0.0,4.883402347564697,dsp,20.85311508178711
audioFlux\src\flux_spectral.h,5.728529930114746,28.31468963623047,9.092260360717773,8.062699317932129,feature,28.31468963623047
audioFlux\include\pwt_algorithm.h,4.450613498687744,7.0,2.0,5.852992057800293,feature,7.0
audioFlux\src\dsp\flux_correct.c,109.00167846679688,2.4119467735290527,21.43895721435547,3.7378668785095215,dsp,109.00167846679688
audioFlux\include\wsst_algorithm.h,4.452691078186035,7.857344150543213,2.8258633613586426,5.8569254875183105,feature,7.857344150543213
audioFlux\src\filterbank\nsgt_filterBank.h,3.0,7.0,100.00193786621094,4.001887798309326,filter_bank,100.00193786621094
audioFlux\src\dsp\dct_algorithm.h,102.2386703491211,2.759648084640503,0.7086866497993469,4.8569254875183105,dsp,102.2386703491211
audioFlux\include\track\tune_track.h,2.0,2.0,0.0,3.001804828643799,general,3.001804828643799
audioFlux\src\mir\_queue.c,85.01371002197266,3.7775309085845947,29.417728424072266,7.257195472717285,dsp,85.01371002197266
audioFlux\include\dsp\hilbert_algorithm.h,84.09021759033203,2.0,0.0,4.884453296661377,dsp,84.09021759033203
audioFlux\src\dsp\filterDesign_fir.h,81.30514526367188,1.0,163.9687042236328,3.0018463134765625,filter_bank,163.9687042236328
audioFlux\src\mir\hpss_algorithm.h,3.459041118621826,2.0,0.0,4.868945598602295,general,4.868945598602295
audioFlux\src\mir\_trist3.h,47.40687942504883,1.0,0.0,3.001892328262329,dsp,47.40687942504883
audioFlux\src\reassign_algorithm.c,3.174575090408325,2.0,48.38252258300781,6.8174357414245605,filter_bank,48.38252258300781
audioFlux\src\dsp\xcorr_algorithm.c,69.67543029785156,2.0,2.4776151180267334,6.8737592697143555,dsp,69.67543029785156
audioFlux\src\mir\_pitch_ffp.h,16.115985870361328,3.045699119567871,0.0,3.0017647743225098,dsp,16.115985870361328
audioFlux\src\dsp\phase_vocoder.c,75.54531860351562,4.861547946929932,0.0,4.2112956047058105,dsp,75.54531860351562
audioFlux\src\dsp\conv_algorithm.h,84.45381927490234,5.9532694816589355,2.764965057373047,11.557995796203613,dsp,84.45381927490234
audioFlux\src\bft_algorithm.h,4.443489074707031,11.460640907287598,38.69428253173828,5.839506149291992,filter_bank,38.69428253173828
audioFlux\src\dsp\filterDesign_iir.c,83.62142944335938,1.0,36.0,3.0019428730010986,dsp,83.62142944335938
