project,removed_case,removed_module,file
bigbluebutton,removed_Apps,Apps,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Bezier.java
bigbluebutton,removed_Apps,Apps,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPath.java
bigbluebutton,removed_Apps,Apps,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/BezierPathIterator.java
bigbluebutton,removed_Apps,Apps,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Geom.java
bigbluebutton,removed_Apps,Apps,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/PathCommands.java
bigbluebutton,removed_Apps,Apps,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/PathData.java
bigbluebutton,removed_Apps,Apps,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Shapes.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/IReceivedOldMessageHandler.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/domain/Extensions.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/domain/Metadata.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/domain/Preview.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/messaging/ReceivedMessage.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/messaging/converters/messages/EndMeetingMessage.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/messaging/converters/messages/KeepAliveMessage.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/messaging/converters/messages/PublishedRecordingMessage.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/messaging/converters/messages/UnpublishedRecordingMessage.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/messaging/messages/GuestLobbyMessageChanged.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/messaging/messages/GuestStatusChangedEventMsg.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/messaging/messages/RecordChapterBreak.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/messaging/messages/UpdateRecordingStatus.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/messaging/messages/UserStatusChanged.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api/util/DataStore.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api2/domain/DurationProp2.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/api2/domain/RecordProp2.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/common/messages/BbbAppsIsAliveMessage.java
bigbluebutton,removed_Apps,Apps,bbb-common-web/src/main/java/org/bigbluebutton/common/messages/MessageBuilder.java
bigbluebutton,removed_Apps,Apps,bbb-recording-imex/src/main/java/org/bigbluebutton/RecordingApp.java
bigbluebutton,removed_Apps,Apps,bbb-recording-imex/src/main/java/org/bigbluebutton/RecordingExportHandler.java
bigbluebutton,removed_Apps,Apps,bbb-recording-imex/src/main/java/org/bigbluebutton/RecordingImportHandler.java
bigbluebutton,removed_Apps,Apps,bigbluebutton-web/pres-checker/src/main/java/org/bigbluebutton/prescheck/Main.java
bigbluebutton,removed_BBB web,BBB web,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Bezier.java
