file_path,model,strategy,backtest,workflow,rl,run,tests,utils,contrib,best_module,best_likelihood
backtest\backtest.py,0.00,5.00,95.00,3.00,0.00,0.00,0.00,2.00,0.00,backtest,95.00
backtest\decision.py,0.00,10.00,85.00,0.00,0.00,0.00,0.00,5.00,0.00,backtest,85.00
backtest\account.py,0.00,5.00,90.00,3.00,0.00,0.00,0.00,2.00,0.00,backtest,90.00
backtest\exchange.py,0.00,5.00,95.00,3.00,0.00,0.00,0.00,2.00,0.00,backtest,95.00
backtest\executor.py,0.00,5.00,90.00,3.00,0.00,0.00,0.00,2.00,0.00,backtest,90.00
backtest\report.py,0.00,0.00,95.00,0.00,0.00,0.00,3.00,1.00,1.00,backtest,95.00
backtest\__init__.py,0.00,0.00,95.00,4.00,0.00,0.00,0.00,1.00,0.00,backtest,95.00
backtest\high_performance_ds.py,0.00,5.00,80.00,2.00,0.00,0.00,0.00,10.00,3.00,backtest,80.00
backtest\utils.py,0.00,10.00,85.00,3.00,0.00,0.00,0.00,2.00,0.00,backtest,85.00
backtest\profit_attribution.py,5.00,15.00,85.00,10.00,0.00,0.00,0.00,5.00,10.00,backtest,85.00
backtest\position.py,0.00,10.00,85.00,0.00,0.00,0.00,0.00,0.00,5.00,backtest,85.00
backtest\signal.py,10.00,15.00,5.00,5.00,0.00,0.00,0.00,10.00,75.00,contrib,75.00
contrib\data\utils\__init__.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\data\utils\sepdf.py,0.00,0.00,0.00,5.00,0.00,0.00,0.00,95.00,5.00,utils,95.00
contrib\data\__init__.py,11.00,11.00,11.00,11.00,11.00,11.00,11.00,12.00,11.00,None,12.00
contrib\data\dataset.py,0.00,0.00,0.00,0.00,90.00,0.00,0.00,5.00,5.00,rl,90.00
contrib\data\loader.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
contrib\data\highfreq_handler.py,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,95.00,contrib,95.00
contrib\data\processor.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,95.00,contrib,95.00
contrib\data\highfreq_provider.py,0.00,0.00,10.00,5.00,0.00,5.00,0.00,5.00,75.00,contrib,75.00
contrib\data\data.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,contrib,100.00
contrib\data\highfreq_processor.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,contrib,100.00
contrib\data\handler.py,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,contrib,100.00
