file_path,dns,general,httpserver,pools,sampling,services,ssl,transport,best_module,best_likelihood
proxygen\proxygen\lib\http\coro\test\HttpWtUpstreamTests.cpp,1.0003584623336792,6.928980827331543,5.808254241943359,2.2613415718078613,3.1366467010229826E-4,4.801637172698975,50.8006591796875,124.57575988769531,transport,124.57575988769531
proxygen\proxygen\lib\http\codec\test\CodecUtilTests.cpp,19.22281837463379,3.006363868713379,4.1104655265808105,1.3141824007034302,3.757577214855701E-4,2.7137200832366943,17.562713623046875,0.9678633213043213,dns,19.22281837463379
proxygen\proxygen\lib\http\structuredheaders\StructuredFields.h,12.978541374206543,3.316157341003418,3.751429796218872,7.205262184143066,3.9137923158705235E-4,1.8933484554290771,12.786484718322754,0.25568756461143494,dns,12.978541374206543
proxygen\proxygen\httpserver\samples\hq\HQClient.cpp,27.596006393432617,8.76461410522461,70.82650756835938,5.19482421875,1.5463553667068481,10.443126678466797,12.03179931640625,76.2359619140625,transport,76.2359619140625
proxygen\proxygen\lib\http\HTTPMethod.h,1.0005245208740234,1.243212103843689,3.801790952682495,1.3158255815505981,4.5895521179772913E-4,1.35555899143219,1.2344262599945068,0.36458879709243774,httpserver,3.801790952682495
proxygen\proxygen\httpclient\samples\curl\CurlClient.h,1.000573992729187,1.3998782634735107,4.2803730964660645,3.7477290630340576,5.022097029723227E-4,1.0348213911056519,47.898338317871094,5.022097029723227E-4,ssl,47.898338317871094
proxygen\proxygen\lib\http\coro\HTTPEvents.h,1.0004770755767822,3.6330666542053223,3.306384325027466,1.0,4.1738900472410023E-4,2.3835015296936035,1.1147375106811523,3.846139907836914,transport,3.846139907836914
proxygen\proxygen\lib\http\observer\HTTPTransactionObserverContainer.h,1.0005223751068115,1.2407995462417603,3.799783706665039,2.3186416625976562,4.5709818368777633E-4,1.3464399576187134,0.18025681376457214,0.36097073554992676,httpserver,3.799783706665039
proxygen\proxygen\lib\pools\generators\ServerListGenerator.h,2.342163562774658,0.9380201697349548,5.952118873596191,130.0387725830078,4.236703971400857E-4,1.674051284790039,0.0,4.236703971400857E-4,pools,130.0387725830078
proxygen\proxygen\lib\http\coro\filters\VisitorFilter.h,1.0005197525024414,2.1015496253967285,3.475245714187622,1.908003568649292,4.547979333437979E-4,1.6936061382293701,1.1780465841293335,0.3565479516983032,httpserver,3.475245714187622
