file_path,app,bin,concurrency,contrib,events,fixups,loaders,security,utils,worker,best_module,best_likelihood
app\base.py,98.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,app,98.00
app\amqp.py,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,app,95.00
app\registry.py,98.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,3.00,2.00,app,98.00
app\autoretry.py,10.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,85.00,0.00,utils,85.00
app\builtins.py,80.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,10.00,5.00,app,80.00
app\control.py,5.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,5.00,95.00,worker,95.00
app\log.py,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,5.00,app,90.00
app\backends.py,5.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,85.00,0.00,utils,85.00
app\routes.py,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,app,100.00
app\defaults.py,95.00,0.00,0.00,0.00,0.00,5.00,10.00,0.00,5.00,0.00,app,95.00
app\events.py,10.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,events,90.00
app\annotations.py,85.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,5.00,0.00,app,85.00
app\task.py,95.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,app,95.00
app\trace.py,90.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,3.00,2.00,app,90.00
app\__init__.py,95.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,3.00,0.00,app,95.00
app\utils.py,15.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,95.00,0.00,utils,95.00
apps\beat.py,5.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,bin,95.00
apps\__init__.py,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,None,10.00
apps\multi.py,2.00,95.00,3.00,1.00,1.00,1.00,1.00,0.00,3.00,6.00,bin,95.00
