file_path,Facade,MediaManagement,UserDBAdapter,TagWatermarking,Packaging,ReEncoder,Database,MediaAccess,FileStorage,best_module,best_likelihood
Implementation/mediastore.ejb.tagwatermarking/src/edu/kit/ipd/sdq/mediastore/ejb/tagwatermarking/TagWatermarkingImpl.java,0.00,10.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,TagWatermarking,100.00
Implementation/mediastore.ejb.packaging/src/edu/kit/ipd/sdq/mediastore/ejb/packaging/PackagingImpl.java,0.00,5.00,0.00,0.00,90.00,0.00,0.00,0.00,5.00,Packaging,90.00
Implementation/mediastore.ejb.mediamanagement/src/edu/kit/ipd/sdq/mediastore/ejb/mediamanagement/MediaManagementImpl.java,5.00,100.00,0.00,5.00,20.00,0.00,0.00,30.00,10.00,MediaManagement,100.00
Implementation/mediastore.ejb.reencoder/src/edu/kit/ipd/sdq/mediastore/ejb/reencoder/ReEncoderImpl.java,5.00,10.00,0.00,0.00,5.00,95.00,0.00,15.00,20.00,ReEncoder,95.00
Implementation/mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/Audio.java,0.00,10.00,5.00,0.00,0.00,0.00,30.00,95.00,5.00,MediaAccess,95.00
Implementation/mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/MediaAccessImpl.java,0.00,10.00,0.00,0.00,15.00,0.00,5.00,95.00,25.00,MediaAccess,95.00
Implementation/mediastore.ejb.mediaaccess/src/edu/kit/ipd/sdq/mediastore/ejb/mediaaccess/DbManager.java,0.00,10.00,5.00,0.00,0.00,0.00,20.00,95.00,30.00,MediaAccess,95.00
Implementation/mediastore.ejb.cache/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/cache/CacheSingleton.java,0.00,30.00,0.00,0.00,0.00,0.00,20.00,80.00,70.00,MediaAccess,80.00
Implementation/mediastore.ejb.cache/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/cache/IdAndBitrate.java,0.00,20.00,0.00,0.00,0.00,60.00,0.00,30.00,15.00,ReEncoder,60.00
Implementation/mediastore.ejb.cache/ejbModule/edu/kit/ipd/sdq/mediastore/ejb/cache/CacheImpl.java,0.00,20.00,0.00,0.00,0.00,0.00,0.00,30.00,10.00,MediaAccess,30.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/filters/MainFilter.java,90.00,5.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/SessionBean.java,90.00,5.00,10.00,0.00,0.00,0.00,0.00,5.00,0.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/UploadBean.java,90.00,20.00,10.00,0.00,0.00,5.00,0.00,30.00,20.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/DownloadBean.java,85.00,15.00,5.00,0.00,10.00,0.00,0.00,5.00,0.00,Facade,85.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/WebBeanManager.java,80.00,5.00,1.00,0.00,0.00,0.00,1.00,3.00,0.00,Facade,80.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/RegisterBean.java,95.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,95.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/beans/LoginBean.java,99.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,99.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/utils/SessionUtil.java,90.00,5.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,90.00
Implementation/mediastore.web/src/edu/kit/ipd/sdq/mediastore/web/utils/MessageUtil.java,95.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,Facade,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Main.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,0.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/InterfaceDetails.java,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,0.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/Config.java,0.00,20.00,0.00,0.00,0.00,0.00,0.00,15.00,10.00,MediaManagement,20.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/EJB.java,5.00,10.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,MediaManagement,10.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/RequiredInterface.java,0.00,20.00,0.00,0.00,0.00,0.00,0.00,30.00,10.00,MediaAccess,30.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/GlobalConstantsContainer.java,5.00,15.00,0.00,0.00,0.00,0.00,0.00,60.00,75.00,FileStorage,75.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/config/ProvidedInterface.java,0.00,10.00,0.00,0.00,0.00,0.00,0.00,15.00,15.00,MediaAccess,15.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/FailedDownloadException.java,20.00,60.00,10.00,30.00,20.00,10.00,5.00,70.00,40.00,MediaAccess,70.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/AppException.java,20.00,25.00,15.00,5.00,5.00,5.00,10.00,25.00,25.00,MediaManagement,25.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/DbException.java,0.00,5.00,40.00,0.00,0.00,0.00,40.00,15.00,0.00,UserDBAdapter,40.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/UnknownServerException.java,50.00,20.00,5.00,2.00,1.00,1.00,5.00,10.00,6.00,Facade,50.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/FailedUploadException.java,40.00,20.00,0.00,0.00,0.00,0.00,10.00,90.00,100.00,FileStorage,100.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/UserAlreadyExistsException.java,5.00,10.00,80.00,0.00,0.00,0.00,30.00,5.00,0.00,UserDBAdapter,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/BadLoginDataException.java,0.00,0.00,95.00,0.00,0.00,0.00,5.00,0.00,0.00,UserDBAdapter,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/ConversionException.java,10.00,20.00,5.00,10.00,10.00,85.00,5.00,5.00,5.00,ReEncoder,85.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/exceptions/PropertiesException.java,0.00,10.00,0.00,0.00,0.00,0.00,20.00,30.00,40.00,FileStorage,40.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/LameUtil.java,0.00,10.00,0.00,20.00,5.00,95.00,0.00,5.00,0.00,ReEncoder,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/FSUtil.java,10.00,20.00,0.00,0.00,10.00,0.00,0.00,50.00,90.00,FileStorage,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/PropertiesUtil.java,0.00,10.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,MediaAccess,20.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/utils/JNDIUtil.java,5.00,15.00,20.00,5.00,5.00,5.00,25.00,15.00,10.00,Database,25.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessMaintenanceRemote.java,0.00,10.00,0.00,0.00,0.00,0.00,20.00,95.00,25.00,MediaAccess,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/ICacheMaintenanceRemote.java,5.00,15.00,0.00,0.00,0.00,0.00,0.00,35.00,45.00,FileStorage,45.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessLocal.java,0.00,10.00,0.00,0.00,0.00,0.00,5.00,95.00,30.00,MediaAccess,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessRemote.java,0.00,10.00,0.00,0.00,0.00,0.00,10.00,80.00,0.00,MediaAccess,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IPackagingLocal.java,0.00,10.00,0.00,5.00,95.00,5.00,0.00,10.00,15.00,Packaging,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadCacheRemote.java,0.00,60.00,0.00,0.00,20.00,0.00,0.00,30.00,80.00,FileStorage,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadCacheLocal.java,10.00,40.00,5.00,5.00,20.00,5.00,5.00,80.00,60.00,MediaAccess,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadMediaAccessRemote.java,10.00,30.00,0.00,0.00,5.00,0.00,0.00,80.00,40.00,MediaAccess,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IBusinessInterface.java,5.00,90.00,15.00,5.00,5.00,5.00,0.00,50.00,10.00,MediaManagement,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadMediaAccess.java,20.00,30.00,0.00,10.00,0.00,0.00,0.00,90.00,10.00,MediaAccess,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadMediaAccessLocal.java,0.00,20.00,0.00,0.00,0.00,0.00,0.00,90.00,50.00,MediaAccess,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IPackaging.java,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,Packaging,100.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IUserManagement.java,20.00,10.00,90.00,0.00,0.00,0.00,20.00,0.00,0.00,UserDBAdapter,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownload.java,30.00,80.00,5.00,10.00,70.00,5.00,0.00,50.00,60.00,MediaManagement,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaManagementLocal.java,5.00,95.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,MediaManagement,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadReEncoder.java,0.00,10.00,0.00,5.00,5.00,90.00,0.00,15.00,70.00,ReEncoder,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccess.java,10.00,15.00,0.00,5.00,5.00,5.00,15.00,95.00,25.00,MediaAccess,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadReEncoderRemote.java,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,30.00,ReEncoder,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IUserDBAdapter.java,0.00,0.00,95.00,0.00,0.00,0.00,5.00,0.00,0.00,UserDBAdapter,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaManagement.java,20.00,90.00,0.00,0.00,5.00,0.00,0.00,40.00,10.00,MediaManagement,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadAudioWatermarking.java,10.00,20.00,0.00,90.00,0.00,0.00,0.00,5.00,0.00,TagWatermarking,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessMaintenance.java,0.00,15.00,0.00,0.00,0.00,0.00,0.00,90.00,30.00,MediaAccess,90.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IFacadeRemote.java,95.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Facade,95.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadCache.java,0.00,30.00,0.00,10.00,5.00,0.00,0.00,40.00,60.00,FileStorage,60.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IDownloadReEncoderLocal.java,10.00,20.00,0.00,0.00,0.00,80.00,0.00,15.00,10.00,ReEncoder,80.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/ICacheMaintenanceLocal.java,0.00,20.00,0.00,0.00,0.00,0.00,15.00,60.00,5.00,MediaAccess,60.00
Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessMaintenanceLocal.java,10.00,20.00,5.00,5.00,5.00,5.00,10.00,85.00,50.00,MediaAccess,85.00
