case_type,Project,Module,File,GT,TFIDF,TFIDF_correct,TFIDF Score,LLMProb,LLMProb_correct,LLMProb Score,LLMAssign,LLMAssign_correct,LLMAssign-IPRAG,LLMAssign-IPRAG_correct,correctness_pattern,manual_gt_rationale,manual_error_analysis,notes,SAMCodeTLR
iprag_correct_all_baselines_wrong,bigbluebutton,Redis PubSub,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/internal/debug/ChannelEventRunnable.java,FreeSWITCH,non,0,90.23,FSESL,0,90.00,FSESL,0,FreeSWITCH,1,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=Y,,,,non
iprag_correct_all_baselines_wrong,hadoop,YARN,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/permission/FsAction.java,Common,non,0,79.82,HDFS,0,90.00,HDFS,0,Common,1,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=Y,,,,non
iprag_correct_all_baselines_wrong,jabref,gui,src/main/java/org/jabref/model/openoffice/style/CompareCitation.java,model,non,0,91.64,non,0,50.00,non,0,model,1,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=Y,,,,non
iprag_correct_all_baselines_wrong,teammates,Logic,src/main/java/teammates/ui/output/StudentData.java,UI,non,0,58.25,non,0,40.00,Common,0,UI,1,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=Y,,,,non
iprag_correct_all_baselines_wrong,bigbluebutton,Redis PubSub,akka-bbb-apps/src/main/scala/org/bigbluebutton/core/util/jhotdraw/Shapes.java,Apps,non,0,63.84,non,0,30.00,non,0,Apps,1,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=Y,,,,non
iprag_correct_all_baselines_wrong,hadoop,YARN,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/permission/FsPermission.java,Common,non,0,64.19,HDFS,0,90.00,HDFS,0,Common,1,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=Y,,,,non
iprag_correct_all_baselines_wrong,jabref,model,src/main/java/org/jabref/gui/preferences/table/TableTabViewModel.java,gui,non,0,96.82,non,0,50.00,preferences,0,gui,1,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=Y,,,,non
iprag_correct_all_baselines_wrong,teammates,E2E,src/main/java/teammates/ui/webapi/GetAccountsAction.java,UI,non,0,69.19,non,0,60.00,Logic,0,UI,1,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=Y,,,,non
iprag_correct_all_baselines_wrong,bigbluebutton,Redis PubSub,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/transport/message/EslFrameDecoder.java,FreeSWITCH,non,0,76.91,FSESL,0,85.00,FSESL,0,FreeSWITCH,1,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=Y,,,,non
iprag_correct_all_baselines_wrong,hadoop,YARN,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/s3/INode.java,Common,non,0,69.90,non,0,0.00,non,0,Common,1,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=Y,,,,non
iprag_correct_some_baseline_wrong,bigbluebutton,BBB web,bbb-common-web/src/main/java/org/bigbluebutton/presentation/DocumentConversionService.java,Presentation Conversion,non,0,85.91,Presentation Conversion,1,95.00,Presentation Conversion,1,Presentation Conversion,1,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
iprag_correct_some_baseline_wrong,hadoop,YARN,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/fs/ftp/FTPFileSystem.java,Common,non,0,60.84,Common,1,90.00,Common,1,Common,1,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
iprag_correct_some_baseline_wrong,jabref,logic,src/main/java/org/jabref/gui/maintable/MainTableColumnModel.java,gui,non,0,55.87,gui,1,95.00,gui,1,gui,1,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
iprag_correct_some_baseline_wrong,mediastore,UserDBAdapter,Implementation/mediastore.ejb.facade/src/edu/kit/ipd/sdq/mediastore/ejb/facade/FacadeImpl.java,Facade,MediaManagement,0,186.67,Facade,1,100.00,Facade,1,Facade,1,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
iprag_correct_some_baseline_wrong,teammates,UI,src/main/java/teammates/common/datatransfer/NotificationTargetUser.java,Common,non,0,87.98,Common,1,95.00,Common,1,Common,1,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
iprag_correct_some_baseline_wrong,teastore,Registry,services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/domain/OrderRepository.java,Persistence,non,0,71.96,Persistence,1,100.00,Persistence,1,Persistence,1,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
iprag_correct_some_baseline_wrong,bigbluebutton,FSESL,bbb-common-web/src/main/java/org/bigbluebutton/presentation/messages/DocPageCountExceeded.java,Presentation Conversion,non,0,79.90,Presentation Conversion,1,90.00,Presentation Conversion,1,Presentation Conversion,1,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
iprag_correct_some_baseline_wrong,hadoop,YARN,hadoop-mapreduce-project/hadoop-mapreduce-client/hadoop-mapreduce-client-core/src/main/java/org/apache/hadoop/mapred/RamManager.java,MapReduce,non,0,58.91,MapReduce,1,95.00,MapReduce,1,MapReduce,1,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
iprag_correct_some_baseline_wrong,jabref,cli,src/main/java/org/jabref/logic/layout/format/RemoveBracketsAddComma.java,logic,non,0,56.75,logic,1,99.00,logic,1,logic,1,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
iprag_correct_some_baseline_wrong,mediastore,UserManagement,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IPackagingLocal.java,Packaging,non,0,57.73,Packaging,1,95.00,Packaging,1,Packaging,1,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=Y,,,,non
baseline_correct_iprag_wrong,bigbluebutton,Presentation Conversion,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/events/ConfRecording.java,FreeSWITCH,non,0,99.85,FreeSWITCH,1,90.00,FreeSWITCH,1,FSESL,0,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=N,,,,non
baseline_correct_iprag_wrong,hadoop,YARN,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/record/BinaryRecordOutput.java,Common,non,0,69.90,Common,1,100.00,Common,1,non,0,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=N,,,,non
baseline_correct_iprag_wrong,jabref,preferences,src/main/java/org/jabref/gui/maintable/MainTableFieldValueFormatter.java,gui,non,0,70.96,gui,1,85.00,gui,1,non,0,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=N,,,,non
baseline_correct_iprag_wrong,mediastore,Facade,Implementation/mediastore.basic/src/edu/kit/ipd/sdq/mediastore/basic/interfaces/IMediaAccessMaintenanceRemote.java,MediaAccess,non,0,0.15,MediaAccess,1,90.00,MediaAccess,1,non,0,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=N,,,,non
baseline_correct_iprag_wrong,teammates,Storage,src/main/java/teammates/ui/webapi/GetInstructorAction.java,UI,non,0,71.98,UI,1,100.00,Logic,0,Logic,0,TFIDF=N;LLMProb=Y;LLMAssign=N;LLMAssign-IPRAG=N,,,,non
baseline_correct_iprag_wrong,teastore,WebUI,services/tools.descartes.teastore.auth/src/main/java/tools/descartes/teastore/auth/rest/ReadyRest.java,Auth,Auth,1,115.19,Auth,1,90.00,non,0,non,0,TFIDF=Y;LLMProb=Y;LLMAssign=N;LLMAssign-IPRAG=N,,,,non
baseline_correct_iprag_wrong,bigbluebutton,BBB web,akka-bbb-fsesl/src/main/java/org/bigbluebutton/freeswitch/voice/freeswitch/actions/ForceEjectUserCommand.java,FreeSWITCH,FreeSWITCH,1,110.10,FSESL,0,90.00,FreeSWITCH,1,FSESL,0,TFIDF=Y;LLMProb=N;LLMAssign=Y;LLMAssign-IPRAG=N,,,,non
baseline_correct_iprag_wrong,hadoop,YARN,hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/record/compiler/generated/SimpleCharStream.java,Common,non,0,58.72,non,0,75.00,Common,1,non,0,TFIDF=N;LLMProb=N;LLMAssign=Y;LLMAssign-IPRAG=N,,,,non
baseline_correct_iprag_wrong,jabref,cli,src/main/java/org/jabref/gui/logging/GuiWriter.java,gui,non,0,64.00,gui,1,85.00,gui,1,non,0,TFIDF=N;LLMProb=Y;LLMAssign=Y;LLMAssign-IPRAG=N,,,,non
baseline_correct_iprag_wrong,teammates,Client,src/main/java/teammates/ui/webapi/MarkNotificationAsReadAction.java,UI,non,0,66.55,UI,1,85.00,Logic,0,non,0,TFIDF=N;LLMProb=Y;LLMAssign=N;LLMAssign-IPRAG=N,,,,non
all_methods_wrong,bigbluebutton,Redis DB,bbb-fsesl-client/src/main/java/org/freeswitch/esl/client/inbound/InboundConnectionFailure.java,FreeSWITCH,non,0,92.90,FSESL,0,95.00,FSESL,0,FSESL,0,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=N,,,,non
all_methods_wrong,hadoop,YARN,hadoop-mapreduce-project/src/tools/org/apache/hadoop/fs/HarFileSystem.java,MapReduce,non,0,57.35,non,0,70.00,Common,0,HDFS,0,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=N,,,,non
all_methods_wrong,jabref,cli,src/main/java/org/jabref/gui/preferences/network/NetworkTab.java,gui,non,0,74.23,non,0,50.00,preferences,0,preferences,0,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=N,,,,non
all_methods_wrong,teammates,E2E,src/main/java/teammates/ui/webapi/DeleteAccountRequestAction.java,UI,non,0,72.47,non,0,80.00,Logic,0,non,0,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=N,,,,non
all_methods_wrong,teastore,Registry,services/tools.descartes.teastore.persistence/src/main/java/tools/descartes/teastore/persistence/servlet/IndexServlet.java,Persistence,non,0,76.81,WebUI,0,90.00,WebUI,0,WebUI,0,TFIDF=N;LLMProb=N;LLMAssign=N;LLMAssign-IPRAG=N,,,,non
