file_path,Apps,BBB web,Redis DB,Redis PubSub,best_module,best_likelihood
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\example\SimpleHangupPipelineFactory.java,5.1822285652160645,44.9139404296875,0.0,0.0,BBB web,44.9139404296875
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\MeetingEndedConstraint.java,23.134305953979492,90.46318817138672,9.276853561401367,14.11835765838623,BBB web,90.46318817138672
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\Enter.java,20.561845779418945,89.26396942138672,4.023321151733398,4.443910598754883,BBB web,89.26396942138672
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\DelayedCommand.java,6.972836971282959,45.3185920715332,0.3907333016395569,1.457760214805603,BBB web,45.3185920715332
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\constraint\list\NotEmptyList.java,15.629136085510254,87.19483184814453,4.1716156005859375,7.323349952697754,BBB web,87.19483184814453
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\commands\ConferenceCommandResult.java,4.4005279541015625,45.911312103271484,4.355208873748779,5.828766822814941,BBB web,45.911312103271484
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\MeetingInfo.java,20.833051681518555,87.90998840332031,4.397458553314209,4.800603866577148,BBB web,87.90998840332031
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\RecordChapterBreak.java,19.062602996826172,81.22700500488281,4.856406211853027,12.092875480651855,BBB web,81.22700500488281
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingStarted.java,19.19922637939453,81.25214385986328,4.890430450439453,12.18533992767334,BBB web,81.25214385986328
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\service\ServiceUtils.java,30.929332733154297,91.9239730834961,5.235823631286621,10.246232032775879,BBB web,91.9239730834961
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\web\services\IStorageService.java,14.950112342834473,89.80973815917969,2.8114013671875,6.333783149719238,BBB web,89.80973815917969
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\FreeswitchApplication.java,18.205951690673828,47.84479904174805,6.950326919555664,11.97999095916748,BBB web,47.84479904174805
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\MuteUserCommand.java,10.941885948181152,46.05633544921875,0.0,1.0691183805465698,BBB web,46.05633544921875
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\EjectAllUsersCommand.java,6.77673864364624,46.37709426879883,0.0,1.0713444948196411,BBB web,46.37709426879883
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\ConfRecording.java,9.211606979370117,47.87100601196289,7.945609092712402,4.264123916625977,BBB web,47.87100601196289
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\request\EndMeeting.java,20.07378387451172,87.43508911132812,4.2696943283081055,4.717197418212891,BBB web,87.43508911132812
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\events\UnknownConferenceEvent.java,9.268803596496582,47.9454460144043,5.988899230957031,4.288964748382568,BBB web,47.9454460144043
bigbluebutton\bbb-fsesl-client\src\main\java\org\freeswitch\esl\client\outbound\AbstractOutboundPipelineFactory.java,5.0202250480651855,44.59504318237305,0.0,5.489985466003418,BBB web,44.59504318237305
bigbluebutton\akka-bbb-fsesl\src\main\java\org\bigbluebutton\freeswitch\voice\freeswitch\actions\StopSoundCommand.java,10.860833168029785,46.27715301513672,0.75275719165802,1.0698448419570923,BBB web,46.27715301513672
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\Util.java,19.685657501220703,87.13327026367188,5.352514743804932,7.42069673538208,BBB web,87.13327026367188
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\messaging\messages\MeetingDestroyed.java,19.19922637939453,81.25214385986328,4.890430450439453,12.18533992767334,BBB web,81.25214385986328
bigbluebutton\bbb-common-web\src\main\java\org\bigbluebutton\api\model\validator\PostChecksumValidator.java,21.449357986450195,91.72960662841797,9.600619316101074,7.90579080581665,BBB web,91.72960662841797
