file_path,logic,model,best_module,best_likelihood
jabref\src\test\java\org\jabref\logic\importer\fileformat\SilverPlatterImporterTest.java,1864.7935485839844,0.07207046917506627,logic,1864.7935485839844
jabref\buildSrc\src\copied\java\org\jabref\logic\journals\JournalAbbreviationRepository.java,1763.2593154907227,0.07889887264796666,logic,1763.2593154907227
jabref\src\main\java\org\jabref\gui\util\UiThreadList.java,0.05859381130763463,0.028576953070504323,logic,0.05859381130763463
jabref\src\main\java\org\jabref\logic\msbib\BibTeXConverter.java,1721.669979095459,0.06829870087759836,logic,1721.669979095459
jabref\src\test\java\org\jabref\logic\importer\fileformat\CffImporterTest.java,1816.5768241882324,0.3494622094290597,logic,1816.5768241882324
jabref\src\main\java\org\jabref\gui\theme\StyleSheetResource.java,0.05265496117728097,0.028577334540230887,logic,0.05265496117728097
jabref\src\main\java\org\jabref\gui\libraryproperties\constants\ConstantsPropertiesView.java,0.14956061499459403,0.05714733260018485,logic,0.14956061499459403
jabref\src\test\java\org\jabref\logic\net\ProxyTest.java,1944.8140716552734,0.07312088693891253,logic,1944.8140716552734
jabref\src\test\java\org\jabref\logic\cleanup\FieldFormatterCleanupTest.java,1723.5596084594727,0.13616165433611188,logic,1723.5596084594727
jabref\src\main\java\org\jabref\logic\exporter\ModsExporter.java,1836.9807624816895,1.0425469534737724,logic,1836.9807624816895
jabref\src\main\java\org\jabref\logic\shared\OracleProcessor.java,1762.3634338378906,0.23347467694963728,logic,1762.3634338378906
jabref\src\main\java\org\jabref\model\util\ListUtil.java,0.1740488052368164,3220.879592895508,model,3220.879592895508
jabref\src\main\java\org\jabref\model\groups\TexGroup.java,0.3030482428414481,2762.4130249023438,model,2762.4130249023438
jabref\src\test\java\org\jabref\logic\importer\fetcher\isbntobibtex\EbookDeIsbnFetcherTest.java,1801.5118598937988,0.10704137938363212,logic,1801.5118598937988
jabref\src\main\java\org\jabref\gui\libraryproperties\PropertiesTabViewModel.java,0.0533888612474714,35.007455945014954,model,35.007455945014954
jabref\src\test\java\org\jabref\logic\util\strings\StringLengthComparatorTest.java,1891.5579795837402,0.08504576001848493,logic,1891.5579795837402
jabref\src\main\java\org\jabref\gui\externalfiles\UnlinkedFilesDialogView.java,0.07010097503662109,0.03565303598131452,logic,0.07010097503662109
jabref\src\main\java\org\jabref\logic\citationstyle\JabRefItemDataProvider.java,1721.7304611206055,0.1597757339477539,logic,1721.7304611206055
jabref\src\main\java\org\jabref\logic\bibtex\comparator\BibtexStringComparator.java,1885.4697227478027,0.07255288532802037,logic,1885.4697227478027
jabref\src\main\java\org\jabref\gui\entryeditor\DeprecatedFieldsTab.java,0.1730616433279855,1.2377449035644532,model,1.2377449035644532
jabref\src\test\java\org\jabref\logic\importer\fetcher\SemanticScholarTest.java,1758.8227653503418,1.0830827985491072,logic,1758.8227653503418
jabref\src\main\java\org\jabref\logic\importer\fetcher\CiteSeer.java,1820.083179473877,0.0710272925240653,logic,1820.083179473877
jabref\src\main\java\org\jabref\architecture\AllowedToUseAwt.java,0.0,0.028577559334891183,model,0.028577559334891183
jabref\src\main\java\org\jabref\logic\layout\format\HTMLChars.java,1800.8815383911133,0.06873253413609096,logic,1800.8815383911133
jabref\src\test\java\org\jabref\model\openoffice\CitationEntryTest.java,0.20693443843296597,2904.821891784668,model,2904.821891784668
jabref\src\main\java\org\jabref\model\database\KeyChangeListener.java,0.15751692908150808,3045.6729125976562,model,3045.6729125976562
jabref\src\test\java\org\jabref\model\groups\AutomaticPersonsGroupTest.java,0.1973153523036412,3570.362892150879,model,3570.362892150879
jabref\src\main\java\org\jabref\gui\fieldeditors\AbstractEditorViewModel.java,0.04971286909920829,35.006354451179504,model,35.006354451179504
jabref\src\main\java\org\jabref\preferences\GeneralPreferences.java,0.00876407367842538,0.028576551164899554,model,0.028576551164899554
jabref\src\test\java\org\jabref\logic\layout\LayoutHelperTest.java,1892.2024536132812,0.07245392118181501,logic,1892.2024536132812
jabref\src\main\java\org\jabref\logic\importer\SearchBasedFetcher.java,1914.4343376159668,0.07322868619646344,logic,1914.4343376159668
jabref\src\test\java\org\jabref\logic\importer\fetcher\IEEETest.java,1741.1783027648926,0.10796420914786202,logic,1741.1783027648926
jabref\src\main\java\org\jabref\gui\maintable\SmartConstrainedResizePolicy.java,0.13285538809640066,0.07900618144444056,logic,0.13285538809640066
jabref\src\main\java\org\jabref\gui\mergeentries\newmergedialog\cell\sidebuttons\InfoButton.java,0.11542297090802874,0.02857709952763149,logic,0.11542297090802874
jabref\src\test\java\org\jabref\logic\citationkeypattern\AbstractCitationKeyPatternTest.java,1916.2282371520996,0.07245392118181501,logic,1916.2282371520996
jabref\src\main\java\org\jabref\gui\fieldeditors\ContextMenuAddable.java,0.053300207001822336,0.028577494621276855,logic,0.053300207001822336
jabref\src\main\java\org\jabref\logic\layout\format\NoSpaceBetweenAbbreviations.java,1946.056022644043,0.07396648270743233,logic,1946.056022644043
jabref\src\main\java\org\jabref\logic\formatter\bibtexfields\CleanupUrlFormatter.java,1922.7330589294434,0.07207299641200475,logic,1922.7330589294434
jabref\src\main\java\org\jabref\gui\mergeentries\newmergedialog\fieldsmerger\FieldMergerFactory.java,0.05138504164559501,0.028577024596078054,logic,0.05138504164559501
